,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,18,4,4,4,4,4,4,4,4,4,4,4,4,4,18,12,11,4,4,4,4,16,4,6,16,4,4,4,4,4,4,4,4,19,16,4,4,9,8,10,4,11,7,4,10,13,16,4,10,4,12,13,4,11,13,4,4,4,4,4,4,9,4,4,4,4,4,12,4,15,4,4,12,13,10,4,4,4,12,4,7,8,10,4,4,4,15,4,8,4,4,14,4,4,4,29,4,17,4,4,7.18
0.1,37,23,14,21,25,9,15,11,14,14,16,16,9,9,35,9,32,14,18,16,9,24,21,10,35,9,20,14,8,14,9,12,17,18,23,12,14,22,21,26,11,14,16,13,14,27,32,12,11,20,20,15,16,14,31,10,14,21,27,14,16,23,20,9,21,11,15,15,17,28,14,28,15,26,16,20,14,11,26,32,21,12,26,19,11,24,14,15,18,9,9,33,11,13,14,36,16,24,12,21,17.82
0.15,44,29,32,21,32,22,22,39,23,19,37,36,17,12,50,25,49,33,34,37,12,45,41,18,37,21,31,29,17,20,21,36,29,23,50,32,23,20,36,31,25,31,25,16,31,30,51,38,31,25,31,36,30,25,35,30,31,39,33,24,31,37,36,26,27,15,27,35,31,49,24,18,38,26,32,37,47,22,40,23,31,26,47,24,31,30,37,32,33,23,17,42,30,17,12,51,34,44,18,25,30.27
0.2,47,42,38,44,56,36,32,35,32,29,44,54,19,28,48,33,48,42,48,48,27,53,44,26,50,28,40,41,32,32,34,43,39,30,48,39,37,24,33,42,32,29,38,22,33,47,40,42,26,34,34,38,36,29,38,41,44,42,49,35,40,43,53,36,40,40,48,39,53,52,31,55,35,32,31,34,33,43,47,58,31,34,51,41,28,37,35,42,37,36,25,43,37,43,28,48,49,38,25,44,38.69
0.25,52,46,44,49,50,38,50,45,45,41,46,45,29,27,55,43,55,49,56,52,24,53,48,39,59,40,44,39,38,31,43,49,40,45,56,40,44,46,48,34,46,36,40,32,42,58,56,52,32,44,41,47,41,39,46,38,43,56,54,44,46,44,51,40,47,39,51,44,41,58,42,51,42,42,44,51,47,43,49,44,37,47,46,40,51,37,41,46,50,46,38,54,45,51,35,67,48,56,42,43,45
0.3,10,53,43,58,60,52,46,53,50,47,55,59,32,43,5,8,8,63,63,60,35,8,55,8,8,47,51,41,52,39,44,55,47,11,23,57,50,16,13,8,49,5,10,38,5,8,5,53,5,52,8,5,58,8,5,48,56,59,54,51,56,20,62,49,57,52,62,5,56,16,53,56,8,8,13,48,52,43,18,60,5,19,30,51,52,45,13,52,5,46,45,18,51,52,48,20,53,8,51,46,36.22
0.35,30,10,28,10,10,10,15,13,35,10,10,16,15,10,22,20,21,21,11,17,10,33,17,19,27,10,10,13,10,13,10,10,10,40,42,10,10,33,25,19,10,11,30,19,14,24,13,10,21,10,9,16,10,28,20,14,10,27,10,10,10,27,15,14,10,10,10,7,24,37,10,11,22,24,11,14,10,13,19,10,14,29,24,24,16,10,24,10,14,10,10,31,10,23,26,24,11,26,13,10,16.88
0.4,38,28,36,42,47,32,39,36,13,23,32,33,32,24,35,13,33,27,20,22,30,41,24,28,39,32,18,30,25,24,27,24,30,45,37,23,34,51,31,33,28,18,36,34,15,25,24,29,17,23,9,22,30,37,30,37,21,26,32,32,26,34,22,39,31,33,31,14,28,35,35,24,35,33,26,23,27,35,26,26,13,44,35,37,37,20,24,33,18,25,32,46,30,27,38,35,25,31,36,15,29.4
0.45,61,47,45,38,36,50,34,39,38,38,43,36,41,28,55,31,48,48,43,32,40,47,48,43,34,49,22,53,30,33,45,40,40,51,11,37,39,33,49,35,42,31,43,39,23,38,38,40,25,38,31,39,36,54,57,65,44,40,36,41,44,43,37,54,36,32,34,15,41,56,34,33,43,45,23,42,46,49,25,35,24,53,6,35,35,26,36,64,21,36,34,44,41,29,15,43,27,46,49,35,38.76
