,time slot,timepoint (sec)
set1,45,2.25
set2,26,1.3
set3,10,0.5
set4,47,2.35
set5,38,1.9
set6,22,1.1
set7,22,1.1
set8,36,1.8
set9,39,1.95
set10,33,1.65
set11,33,1.65
set12,19,0.95
set13,20,1
set14,33,1.65
set15,18,0.9
set16,20,1
set17,30,1.5
set18,52,2.6
set19,32,1.6
set20,19,0.95
set21,9,0.45
set22,26,1.3
set23,21,1.05
set24,16,0.8
set25,29,1.45
set26,25,1.25
set27,36,1.8
set28,38,1.9
set29,25,1.25
set30,32,1.6
set31,19,0.95
set32,24,1.2
set33,13,0.65
set34,45,2.25
set35,24,1.2
set36,23,1.15
set37,21,1.05
set38,31,1.55
set39,13,0.65
set40,30,1.5
set41,19,0.95
set42,22,1.1
set43,11,0.55
set44,10,0.5
set45,39,1.95
set46,37,1.85
set47,11,0.55
set48,21,1.05
set49,34,1.7
set50,15,0.75
set51,34,1.7
set52,4,0.2
set53,11,0.55
set54,29,1.45
set55,18,0.9
set56,14,0.7
set57,7,0.35
set58,17,0.85
set59,21,1.05
set60,24,1.2
set61,82,4.1
set62,21,1.05
set63,41,2.05
set64,22,1.1
set65,20,1
set66,16,0.8
set67,15,0.75
set68,21,1.05
set69,19,0.95
set70,23,1.15
set71,17,0.85
set72,23,1.15
set73,32,1.6
set74,16,0.8
set75,17,0.85
set76,38,1.9
set77,8,0.4
set78,13,0.65
set79,15,0.75
set80,62,3.1
set81,40,2
set82,25,1.25
set83,11,0.55
set84,30,1.5
set85,26,1.3
set86,22,1.1
set87,8,0.4
set88,19,0.95
set89,25,1.25
set90,13,0.65
set91,63,3.15
set92,26,1.3
set93,28,1.4
set94,29,1.45
set95,41,2.05
set96,38,1.9
set97,23,1.15
set98,27,1.35
set99,57,2.85
set100,26,1.3
average,25.9,1.295
