,time slot,time point (sec)
set 1,45,2.25
set 2,42,2.1
set 3,42,2.1
set 4,45,2.25
set 5,42,2.1
set 6,42,2.1
set 7,42,2.1
set 8,45,2.25
set 9,42,2.1
set 10,42,2.1
set 11,45,2.25
set 12,42,2.1
set 13,42,2.1
set 14,45,2.25
set 15,42,2.1
set 16,45,2.25
set 17,42,2.1
set 18,42,2.1
set 19,42,2.1
set 20,45,2.25
set 21,42,2.1
set 22,42,2.1
set 23,45,2.25
set 24,42,2.1
set 25,45,2.25
set 26,47,2.35
set 27,47,2.35
set 28,47,2.35
set 29,42,2.1
set 30,42,2.1
set 31,42,2.1
set 32,45,2.25
set 33,42,2.1
set 34,40,2
set 35,42,2.1
set 36,42,2.1
set 37,42,2.1
set 38,42,2.1
set 39,42,2.1
set 40,45,2.25
set 41,45,2.25
set 42,42,2.1
set 43,42,2.1
set 44,42,2.1
set 45,42,2.1
set 46,37,1.85
set 47,47,2.35
set 48,42,2.1
set 49,45,2.25
set 50,45,2.25
set 51,45,2.25
set 52,45,2.25
set 53,45,2.25
set 54,42,2.1
set 55,42,2.1
set 56,45,2.25
set 57,45,2.25
set 58,42,2.1
set 59,45,2.25
set 60,40,2
set 61,45,2.25
set 62,42,2.1
set 63,40,2
set 64,40,2
set 65,40,2
set 66,45,2.25
set 67,42,2.1
set 68,45,2.25
set 69,45,2.25
set 70,45,2.25
set 71,45,2.25
set 72,42,2.1
set 73,45,2.25
set 74,45,2.25
set 75,45,2.25
set 76,47,2.35
set 77,47,2.35
set 78,47,2.35
set 79,42,2.1
set 80,45,2.25
set 81,42,2.1
set 82,42,2.1
set 83,42,2.1
set 84,45,2.25
set 85,42,2.1
set 86,45,2.25
set 87,42,2.1
set 88,47,2.35
set 89,42,2.1
set 90,45,2.25
set 91,42,2.1
set 92,45,2.25
set 93,45,2.25
set 94,45,2.25
set 95,45,2.25
set 96,45,2.25
set 97,45,2.25
set 98,42,2.1
set 99,45,2.25
set 100,47,2.35
average,43.5,2.175
