,time slot,timepoint (sec)
set1,8,0.4
set2,7,0.35
set3,8,0.4
set4,11,0.55
set5,1,0.05
set6,4,0.2
set7,2,0.1
set8,6,0.3
set9,26,1.3
set10,6,0.3
set11,29,1.45
set12,17,0.85
set13,15,0.75
set14,7,0.35
set15,13,0.65
set16,6,0.3
set17,4,0.2
set18,8,0.4
set19,4,0.2
set20,11,0.55
set21,14,0.7
set22,15,0.75
set23,10,0.5
set24,9,0.45
set25,9,0.45
set26,25,1.25
set27,6,0.3
set28,5,0.25
set29,14,0.7
set30,8,0.4
set31,7,0.35
set32,7,0.35
set33,6,0.3
set34,11,0.55
set35,15,0.75
set36,7,0.35
set37,15,0.75
set38,12,0.6
set39,19,0.95
set40,16,0.8
set41,8,0.4
set42,16,0.8
set43,6,0.3
set44,10,0.5
set45,7,0.35
set46,7,0.35
set47,7,0.35
set48,8,0.4
set49,8,0.4
set50,4,0.2
set51,33,1.65
set52,7,0.35
set53,1,0.05
set54,4,0.2
set55,6,0.3
set56,15,0.75
set57,5,0.25
set58,3,0.15
set59,5,0.25
set60,12,0.6
set61,8,0.4
set62,8,0.4
set63,17,0.85
set64,5,0.25
set65,6,0.3
set66,6,0.3
set67,7,0.35
set68,10,0.5
set69,12,0.6
set70,13,0.65
set71,14,0.7
set72,14,0.7
set73,7,0.35
set74,9,0.45
set75,7,0.35
set76,8,0.4
set77,7,0.35
set78,15,0.75
set79,13,0.65
set80,13,0.65
set81,3,0.15
set82,4,0.2
set83,16,0.8
set84,6,0.3
set85,10,0.5
set86,7,0.35
set87,13,0.65
set88,5,0.25
set89,2,0.1
set90,7,0.35
set91,8,0.4
set92,12,0.6
set93,6,0.3
set94,13,0.65
set95,8,0.4
set96,15,0.75
set97,5,0.25
set98,12,0.6
set99,7,0.35
set100,11,0.55
average,9.64,0.482
