,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,24,4,24,4,4,4,11,4,4,4,4,4,18,4,44,4,4,4,4,4,4,26,4,4,4,4,4,21,4,4,4,10,4,4,4,4,15,4,18,4,23,4,23,18,4,17,4,4,4,4,11,4,37,12,4,4,36,26,4,4,17,4,4,22,4,17,23,25,4,22,4,26,16,19,4,4,4,4,4,13,18,4,18,4,14,4,4,22,4,4,36,9,4,4,16,4,4,4,13,4,10.12
0.1,59,19,55,15,29,31,41,12,27,15,26,24,47,15,40,12,45,30,28,28,37,52,15,19,23,16,19,63,30,42,21,20,28,28,15,16,48,28,40,15,37,23,54,47,28,55,15,42,21,18,44,22,46,28,30,15,49,53,30,15,36,15,42,48,34,26,53,35,33,47,23,42,24,34,19,31,26,30,17,62,40,15,63,11,49,44,28,44,26,30,48,49,29,24,23,19,24,11,51,37,31.87
0.15,55,40,70,36,56,51,45,40,51,32,60,30,84,40,79,53,59,57,53,53,62,78,50,50,67,33,29,79,41,65,36,60,52,50,36,43,65,67,73,35,58,58,80,63,57,71,40,53,43,25,55,41,68,58,69,39,65,71,41,41,64,39,70,74,68,50,69,59,49,59,44,63,43,50,47,37,36,52,52,62,60,31,70,23,70,57,54,71,49,49,66,59,47,41,42,55,39,24,65,65,53.35
0.2,67,68,60,64,94,76,45,54,72,47,71,51,67,59,56,61,71,74,80,83,95,71,56,64,65,72,45,61,58,89,58,48,65,64,59,88,55,73,65,53,65,77,64,55,79,59,61,67,65,45,63,62,63,51,71,57,74,70,70,44,54,57,76,89,84,56,62,51,58,56,77,58,37,58,79,52,51,80,70,51,48,43,64,44,65,84,66,66,76,65,63,67,68,69,50,67,73,48,56,83,64.07
0.25,67,66,66,68,70,73,55,52,61,60,71,55,84,54,79,55,68,72,69,66,76,96,60,56,70,78,54,58,63,63,64,49,59,70,55,68,62,63,65,61,54,58,65,74,75,70,59,66,56,61,61,52,64,57,82,73,55,68,60,61,75,63,71,73,81,64,70,56,65,62,68,67,61,61,54,50,55,72,57,68,60,57,64,45,69,66,73,72,64,73,66,59,71,62,60,64,56,41,52,70,64.09
0.3,10,69,28,58,65,71,8,62,79,57,71,49,24,65,8,70,74,66,69,67,74,26,69,63,69,63,61,8,63,76,63,10,63,63,64,70,5,65,12,53,8,70,8,11,70,30,65,73,65,56,8,71,8,8,79,66,8,8,72,70,8,62,75,66,83,8,5,8,68,8,69,8,8,12,66,57,57,73,70,8,20,59,8,49,8,69,59,5,63,66,31,8,60,59,9,61,60,54,5,73,46.09
0.35,35,10,45,10,10,10,26,16,10,10,12,10,55,10,36,10,10,15,28,32,10,41,10,13,10,24,10,38,10,10,10,18,10,10,10,10,22,29,34,10,35,10,38,40,10,27,10,10,10,10,23,17,46,17,10,10,57,30,10,13,27,10,10,13,18,33,39,45,10,40,10,36,44,48,10,10,10,21,10,23,53,10,29,10,34,10,10,26,10,10,26,18,13,10,46,33,10,10,9,10,20.26
0.4,64,33,62,24,38,41,57,29,44,36,52,30,65,35,59,28,35,30,11,38,37,38,25,41,34,28,43,46,18,38,41,25,18,43,36,28,21,50,69,31,48,36,39,72,38,53,37,37,41,39,47,30,48,33,34,27,56,37,33,20,28,28,50,35,52,55,52,60,36,42,30,58,66,50,41,37,38,37,38,49,78,36,41,20,33,33,33,48,31,41,39,35,31,24,52,40,35,20,16,39,39.33
0.45,74,51,60,54,51,67,64,54,71,60,73,68,82,74,85,62,58,51,35,80,58,5,51,64,59,41,64,76,39,73,53,48,63,65,68,49,57,62,72,60,72,60,57,82,57,80,69,44,54,77,84,57,81,42,81,44,94,76,41,39,68,50,69,42,59,78,67,76,63,59,42,68,79,79,72,65,51,83,83,57,79,48,79,36,66,67,57,62,60,66,5,65,66,43,77,57,60,31,45,65,61.36
