,time slot,timepoint (sec)
set1,27,1.35
set2,24,1.2
set3,20,1
set4,17,0.85
set5,64,3.2
set6,40,2
set7,23,1.15
set8,10,0.5
set9,9,0.45
set10,14,0.7
set11,33,1.65
set12,22,1.1
set13,46,2.3
set14,23,1.15
set15,11,0.55
set16,19,0.95
set17,55,2.75
set18,37,1.85
set19,13,0.65
set20,19,0.95
set21,17,0.85
set22,25,1.25
set23,9,0.45
set24,17,0.85
set25,20,1
set26,20,1
set27,17,0.85
set28,13,0.65
set29,24,1.2
set30,62,3.1
set31,64,3.2
set32,25,1.25
set33,13,0.65
set34,34,1.7
set35,24,1.2
set36,34,1.7
set37,50,2.5
set38,46,2.3
set39,35,1.75
set40,15,0.75
set41,35,1.75
set42,33,1.65
set43,14,0.7
set44,28,1.4
set45,16,0.8
set46,57,2.85
set47,69,3.45
set48,59,2.95
set49,7,0.35
set50,24,1.2
set51,24,1.2
set52,10,0.5
set53,40,2
set54,11,0.55
set55,22,1.1
set56,10,0.5
set57,54,2.7
set58,39,1.95
set59,37,1.85
set60,17,0.85
set61,25,1.25
set62,24,1.2
set63,29,1.45
set64,38,1.9
set65,19,0.95
set66,21,1.05
set67,21,1.05
set68,58,2.9
set69,34,1.7
set70,33,1.65
set71,29,1.45
set72,30,1.5
set73,14,0.7
set74,23,1.15
set75,43,2.15
set76,36,1.8
set77,35,1.75
set78,48,2.4
set79,15,0.75
set80,19,0.95
set81,15,0.75
set82,88,4.4
set83,27,1.35
set84,10,0.5
set85,31,1.55
set86,17,0.85
set87,14,0.7
set88,20,1
set89,13,0.65
set90,26,1.3
set91,13,0.65
set92,97,4.85
set93,25,1.25
set94,34,1.7
set95,31,1.55
set96,14,0.7
set97,11,0.55
set98,73,3.65
set99,28,1.4
set100,64,3.2
,29.41,1.4705
