,time slot,timepoint (sec)
set1,82,4.1
set2,80,4
set3,82,4.1
set4,80,4
set5,77,3.85
set6,80,4
set7,77,3.85
set8,80,4
set9,75,3.75
set10,77,3.85
set11,80,4
set12,80,4
set13,77,3.85
set14,77,3.85
set15,80,4
set16,77,3.85
set17,80,4
set18,75,3.75
set19,80,4
set20,80,4
set21,77,3.85
set22,77,3.85
set23,80,4
set24,77,3.85
set25,80,4
set26,80,4
set27,77,3.85
set28,80,4
set29,80,4
set30,80,4
set31,77,3.85
set32,77,3.85
set33,77,3.85
set34,80,4
set35,82,4.1
set36,80,4
set37,77,3.85
set38,77,3.85
set39,80,4
set40,77,3.85
set41,80,4
set42,80,4
set43,80,4
set44,77,3.85
set45,82,4.1
set46,82,4.1
set47,80,4
set48,80,4
set49,77,3.85
set50,80,4
set51,80,4
set52,77,3.85
set53,80,4
set54,85,4.25
set55,80,4
set56,80,4
set57,80,4
set58,77,3.85
set59,80,4
set60,80,4
set61,80,4
set62,77,3.85
set63,80,4
set64,77,3.85
set65,80,4
set66,77,3.85
set67,77,3.85
set68,82,4.1
set69,77,3.85
set70,77,3.85
set71,80,4
set72,80,4
set73,82,4.1
set74,77,3.85
set75,80,4
set76,82,4.1
set77,80,4
set78,80,4
set79,80,4
set80,77,3.85
set81,80,4
set82,80,4
set83,80,4
set84,80,4
set85,77,3.85
set86,80,4
set87,80,4
set88,80,4
set89,82,4.1
set90,80,4
set91,80,4
set92,80,4
set93,82,4.1
set94,82,4.1
set95,80,4
set96,80,4
set97,75,3.75
set98,82,4.1
set99,80,4
set100,82,4.1
average,79.29,3.9645
