,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,18,4,4,4,27,4,6,4,14,4,4,4,23,4,4,4,12,4,4,4,11,4,4,4,4,4,11,4,4,4,4,4,4,15,4,11,4,10,7,4,17,4,4,16,13,4,4,7,4,4,4,4,4,4,16,4,4,4,4,15,4,4,4,4,4,4,26,18,8,11,16,4,4,4,4,4,4,4,4,4,4,4,10,4,10,12,22,4,4,7,23,4,4,4,4,4,4,14,4,4,7.06
0.1,38,17,20,16,27,28,18,20,25,22,9,12,26,18,20,15,24,16,12,14,18,11,11,11,18,11,15,11,11,14,12,14,11,19,16,38,20,15,37,19,30,17,22,15,29,21,13,46,13,13,16,16,12,16,20,18,12,16,11,28,16,26,9,16,18,20,39,40,21,34,31,10,14,14,21,16,11,11,21,9,18,9,21,16,43,31,26,16,10,29,30,11,17,15,11,15,19,16,18,30,19.11
0.15,47,24,30,32,54,27,35,37,49,30,18,27,55,31,36,32,50,12,17,24,36,20,20,20,34,25,30,20,16,31,35,32,19,34,24,35,54,39,51,44,43,30,36,26,48,35,29,55,23,20,24,34,30,42,42,39,34,33,21,51,21,51,37,23,36,54,53,64,30,61,48,32,22,17,30,17,15,25,25,20,37,12,52,34,53,39,58,23,27,42,50,26,33,30,25,32,34,36,35,38,33.78
0.2,51,42,49,57,57,44,45,54,48,43,34,32,47,45,54,43,48,35,37,36,37,39,50,38,38,40,35,36,45,38,41,41,42,42,27,52,68,33,49,50,46,53,64,34,59,68,38,44,33,33,28,51,45,45,41,50,40,48,45,45,26,64,43,34,43,53,37,54,41,51,54,45,39,42,45,41,47,30,41,33,51,45,53,65,58,55,47,59,48,44,49,49,37,41,42,42,56,39,55,56,45.06
0.25,59,45,49,45,60,53,46,63,52,49,37,43,64,45,58,61,60,35,38,42,47,43,52,44,45,48,47,40,45,56,46,45,49,47,46,50,60,47,54,58,51,54,51,48,62,57,50,54,38,52,51,49,43,41,60,62,52,60,55,42,37,66,48,36,59,63,60,67,52,56,59,51,44,45,46,37,50,33,47,39,63,52,51,55,49,56,53,57,38,60,58,36,46,49,47,43,56,47,57,55,50.28
0.3,31,50,58,52,8,60,11,58,8,54,52,43,15,54,64,61,10,54,53,58,5,53,58,42,53,48,8,48,51,50,53,53,57,5,50,11,68,8,14,67,8,62,58,33,8,71,54,8,52,40,55,58,47,51,20,62,49,58,55,5,48,71,58,44,54,62,12,22,8,18,5,54,49,53,60,53,53,39,51,43,50,46,11,60,21,15,8,50,60,8,64,56,53,51,57,56,59,23,63,75,42.53
0.35,11,10,12,10,23,17,27,13,31,11,10,10,29,10,10,14,29,11,10,10,17,10,10,27,10,16,29,10,10,10,12,10,10,15,16,26,11,27,29,10,29,10,10,33,28,17,10,18,19,10,33,10,19,10,39,10,13,33,10,29,13,10,15,10,11,10,32,39,13,29,16,10,10,11,10,10,16,10,10,10,10,24,15,10,45,23,18,36,10,25,8,21,10,33,10,10,11,31,16,15,16.89
0.4,30,21,33,30,24,32,45,38,33,23,21,30,39,25,29,37,29,30,26,21,19,33,29,43,30,33,32,29,32,36,22,38,25,29,32,37,31,52,50,29,33,24,36,41,48,21,29,31,31,38,31,33,39,27,40,24,35,29,23,35,29,29,21,36,28,28,39,49,26,37,29,21,34,36,34,31,40,29,32,20,24,44,34,21,43,37,22,20,24,27,28,24,36,17,41,25,30,42,29,30,31.31
0.45,38,32,29,42,46,44,65,47,43,28,32,55,56,45,42,54,56,40,32,40,27,43,46,65,39,49,45,42,46,49,50,28,38,34,39,40,54,39,52,44,41,23,40,5,42,30,30,40,45,34,15,34,51,34,7,42,59,37,48,40,35,46,34,50,34,36,38,59,26,41,34,27,56,48,33,45,57,48,34,32,33,46,47,29,60,35,38,41,38,38,37,52,54,27,49,50,44,18,49,31,40.61
