,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,9,4,4,4,4,17,4,10,4,4,4,4,4,16,13,4,14,4,4,17,4,11,9,4,4,17,4,4,4,14,15,12,7,4,11,4,4,4,4,4,4,4,4,14,4,4,4,4,4,4,4,17,4,4,4,19,4,13,4,17,4,4,12,14,13,4,4,4,21,4,4,18,13,4,20,10,15,4,23,10,11,4,4,4,4,4,4,11,21,4,9,4,4,4,4,13,4,4,4,4,7.62
0.1,19,25,25,14,17,42,32,37,23,18,21,17,14,28,34,14,41,9,22,32,17,12,13,20,11,28,9,17,14,28,19,18,39,17,22,22,12,22,9,14,23,11,11,22,11,11,11,11,11,23,34,39,16,17,20,40,12,38,14,21,14,11,27,24,29,18,17,17,34,22,11,17,20,16,39,34,18,9,36,38,29,11,14,17,12,21,17,21,53,11,28,22,14,14,11,29,11,11,17,11,20.68
0.15,35,40,20,24,45,59,55,60,43,48,36,29,18,48,47,29,52,36,32,41,40,24,17,29,26,48,46,23,27,52,31,43,47,25,36,37,36,20,16,38,30,37,20,29,24,18,14,29,19,40,27,47,27,34,35,56,34,65,18,37,34,20,64,48,57,31,30,25,46,30,14,31,37,22,54,39,37,31,58,43,28,20,26,38,24,37,32,25,52,13,40,17,22,23,15,67,30,32,30,18,34.38
0.2,47,59,57,40,51,51,53,56,53,60,57,52,27,58,54,47,54,39,43,44,56,25,32,55,37,44,46,36,48,45,34,43,54,43,37,56,67,33,37,52,67,47,31,35,35,45,41,58,45,55,54,35,48,55,46,66,45,55,39,42,57,47,59,47,53,47,60,47,69,66,45,42,39,22,50,44,40,56,57,56,50,42,38,46,37,51,28,31,62,26,49,47,28,45,35,56,35,43,49,35,46.62
0.25,52,57,58,47,61,61,60,51,61,54,50,56,37,55,52,50,51,55,53,55,59,33,34,50,44,49,62,45,53,62,42,45,48,52,41,50,52,61,39,55,59,58,48,50,42,40,37,52,54,55,56,52,57,58,59,66,56,50,45,49,63,49,62,48,65,45,62,42,58,66,39,49,44,46,54,53,49,52,62,58,58,44,49,56,47,61,51,38,66,33,60,50,37,39,49,70,53,55,48,45,51.7
0.3,10,66,57,54,70,8,60,8,63,61,63,60,44,25,8,57,8,53,58,5,69,5,5,58,44,5,61,53,54,44,5,6,8,50,11,56,62,54,39,64,73,51,49,15,55,51,47,60,54,65,53,5,60,61,53,27,51,8,48,8,64,51,14,8,15,53,59,49,8,65,54,32,21,54,8,8,8,62,26,8,8,47,53,72,45,59,48,8,8,41,8,50,38,55,48,37,55,51,51,52,39.86
0.35,24,10,15,10,10,18,10,28,14,11,11,10,10,26,25,23,28,10,10,31,10,19,17,16,10,21,10,10,10,44,16,21,16,10,31,10,10,10,16,10,10,13,10,38,21,10,14,10,10,29,41,14,33,24,12,41,10,30,10,20,10,10,22,28,42,10,17,11,17,19,10,43,14,26,31,19,18,12,28,30,27,17,10,20,10,19,10,18,33,10,23,19,14,10,10,30,11,10,10,22,18.01
0.4,35,29,45,30,32,34,34,44,35,32,27,39,31,29,40,29,43,21,17,38,31,34,13,36,30,39,23,23,20,57,20,18,26,28,35,24,29,17,24,29,20,28,30,33,47,28,35,31,28,11,26,26,25,41,15,50,25,38,24,27,28,19,43,37,43,26,33,17,22,26,20,43,47,40,50,31,36,26,37,45,37,37,28,42,29,23,29,29,43,30,28,35,46,31,32,36,25,33,29,34,31.33
0.45,45,38,41,32,51,42,47,50,41,49,55,44,33,14,42,57,40,41,28,61,40,33,30,64,40,45,56,26,34,5,25,27,51,54,32,33,39,48,41,47,34,46,46,5,43,29,50,40,34,33,24,40,40,62,20,16,37,48,20,37,49,24,70,69,64,37,38,23,30,34,42,5,46,42,58,40,38,41,16,64,48,47,49,52,29,61,52,37,52,37,37,38,43,54,39,25,30,66,36,57,40.44
