,time slot,timepoint (sec)
set1,19,0.95
set2,15,0.75
set3,21,1.05
set4,20,1
set5,126,6.3
set6,42,2.1
set7,30,1.5
set8,18,0.9
set9,35,1.75
set10,37,1.85
set11,11,0.55
set12,17,0.85
set13,39,1.95
set14,28,1.4
set15,18,0.9
set16,15,0.75
set17,15,0.75
set18,14,0.7
set19,43,2.15
set20,19,0.95
set21,38,1.9
set22,23,1.15
set23,17,0.85
set24,30,1.5
set25,30,1.5
set26,22,1.1
set27,16,0.8
set28,18,0.9
set29,25,1.25
set30,33,1.65
set31,26,1.3
set32,19,0.95
set33,42,2.1
set34,44,2.2
set35,18,0.9
set36,12,0.6
set37,25,1.25
set38,25,1.25
set39,7,0.35
set40,13,0.65
set41,63,3.15
set42,11,0.55
set43,31,1.55
set44,43,2.15
set45,25,1.25
set46,9,0.45
set47,31,1.55
set48,25,1.25
set49,31,1.55
set50,31,1.55
set51,64,3.2
set52,18,0.9
set53,25,1.25
set54,35,1.75
set55,11,0.55
set56,19,0.95
set57,23,1.15
set58,37,1.85
set59,47,2.35
set60,25,1.25
set61,96,4.8
set62,21,1.05
set63,17,0.85
set64,15,0.75
set65,35,1.75
set66,21,1.05
set67,69,3.45
set68,77,3.85
set69,34,1.7
set70,32,1.6
set71,15,0.75
set72,32,1.6
set73,32,1.6
set74,14,0.7
set75,19,0.95
set76,17,0.85
set77,12,0.6
set78,11,0.55
set79,69,3.45
set80,8,0.4
set81,36,1.8
set82,30,1.5
set83,29,1.45
set84,33,1.65
set85,47,2.35
set86,22,1.1
set87,18,0.9
set88,27,1.35
set89,19,0.95
set90,11,0.55
set91,24,1.2
set92,52,2.6
set93,81,4.05
set94,27,1.35
set95,68,3.4
set96,12,0.6
set97,27,1.35
set98,13,0.65
set99,34,1.7
set100,23,1.15
average,29.48,1.474
