,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,34,4,4,11,4,4,4,19,4,4,44,4,4,4,4,4,4,10,4,4,4,29,4,17,4,15,4,18,22,4,28,4,4,15,13,4,32,18,17,25,20,4,11,4,4,18,4,26,4,4,4,4,26,4,28,4,4,4,17,4,4,4,4,4,17,4,4,26,4,4,4,18,4,4,4,16,4,4,4,4,4,30,4,4,48,4,4,4,28,4,4,4,4,4,23,4,4,4,22,4,10.09
0.1,65,33,29,47,33,23,44,25,31,44,66,37,32,48,29,16,25,42,27,28,43,67,18,56,44,45,43,56,54,30,65,32,45,46,69,22,56,23,51,40,50,27,36,27,31,37,46,64,16,30,26,45,74,38,59,49,30,26,33,26,33,31,43,27,53,35,60,50,43,26,37,31,29,28,26,63,27,25,61,33,28,56,43,27,59,42,58,30,40,28,29,46,26,43,59,43,30,18,60,30,39.55
0.15,71,48,53,66,67,79,78,45,76,71,88,73,75,78,81,46,72,51,59,55,82,74,56,88,63,72,75,70,79,65,88,66,59,58,64,47,84,67,53,75,62,54,61,64,49,75,76,70,56,69,80,63,88,72,88,61,58,47,59,57,61,69,60,81,76,75,84,85,75,71,70,63,84,51,49,65,55,66,81,72,47,85,72,58,85,94,64,65,63,80,67,71,72,78,69,67,60,51,73,62,68.02
0.2,86,63,74,59,84,86,79,47,93,95,65,115,66,84,86,71,74,47,78,70,74,76,74,76,87,67,84,53,65,93,72,81,85,49,65,67,73,57,73,62,56,87,57,78,80,61,80,62,73,77,83,95,66,102,63,92,72,78,65,65,71,89,76,70,56,93,102,71,90,71,95,55,70,76,64,63,74,90,90,78,61,67,94,78,76,90,76,73,66,68,76,94,79,86,74,96,77,64,62,87,75.35
0.25,69,75,66,60,71,75,86,49,58,89,71,64,67,78,72,82,70,59,69,65,82,68,69,77,86,68,72,69,66,72,74,78,77,55,63,64,71,61,68,76,70,69,61,72,67,74,74,59,64,81,80,63,69,70,71,72,68,73,68,61,65,61,75,88,61,63,66,66,79,71,73,59,63,56,56,70,73,68,91,88,70,68,93,65,72,81,80,67,70,84,72,77,74,76,69,85,65,60,74,65,70.56
0.3,15,67,75,8,66,77,76,5,69,80,8,82,71,77,71,64,66,5,68,84,70,20,67,15,70,9,82,8,8,86,8,74,78,11,8,73,8,25,8,8,8,65,5,70,66,17,73,8,65,77,66,82,8,75,8,75,68,72,19,58,70,75,68,69,14,77,90,5,71,60,85,52,75,60,64,8,70,68,79,62,62,8,73,68,8,88,83,72,14,65,70,81,60,74,8,77,78,67,5,78,52.16
0.35,34,10,10,38,10,10,16,48,10,10,28,17,10,10,27,45,10,17,17,10,10,51,10,34,10,44,10,32,33,10,45,18,22,24,23,10,44,58,36,40,36,12,18,10,10,18,10,29,10,10,18,10,39,10,43,10,10,10,53,10,10,10,21,10,41,10,10,43,14,10,10,34,10,10,10,41,10,14,10,16,10,56,10,10,51,10,10,10,51,10,12,14,18,10,41,10,10,10,36,10,20.7
0.4,57,37,35,60,39,25,51,84,45,45,56,33,38,36,49,22,30,38,31,39,39,83,42,47,36,64,36,51,57,35,58,38,17,35,45,43,62,84,56,56,54,52,33,40,37,31,42,48,27,40,42,34,64,44,52,33,38,46,62,48,26,37,38,25,80,42,33,69,50,30,39,57,22,37,37,64,39,59,61,34,24,66,26,40,61,20,37,36,71,26,48,63,32,23,67,40,37,40,32,39,44.08
0.45,74,56,68,92,70,61,75,84,64,59,49,52,74,56,67,36,63,57,62,75,57,94,76,73,65,94,63,65,53,79,84,73,60,38,64,72,86,77,76,86,71,61,56,69,50,54,78,64,68,83,68,66,75,74,101,41,66,67,92,69,60,60,69,41,82,95,49,94,86,56,81,70,62,64,77,99,56,68,92,69,41,100,60,62,89,55,65,55,78,60,80,71,73,74,80,75,53,75,67,62,69.07
0.5,64,82,79,62,106,96,83,78,85,105,70,72,84,87,92,79,82,65,70,89,71,102,101,66,88,78,91,70,81,89,67,74,59,47,75,95,81,84,74,71,80,102,50,94,91,62,88,65,78,88,74,82,69,89,63,72,105,78,69,99,79,84,69,56,83,102,84,70,84,87,74,80,78,80,82,64,83,84,110,77,73,78,89,81,79,86,79,95,75,86,82,105,71,87,82,92,83,90,65,92,80.72
0.55,57,80,80,78,86,81,74,70,91,88,73,74,77,81,95,84,76,64,70,75,73,66,91,51,72,85,83,70,67,81,79,67,74,5,67,75,77,59,77,69,74,69,59,87,81,70,71,82,80,81,77,82,76,77,76,67,84,84,71,91,82,81,66,74,61,90,73,67,72,74,81,81,73,69,96,98,74,79,86,68,64,75,73,85,75,74,75,76,53,80,69,78,83,83,82,82,75,78,64,90,75.4
