,time slot,timepoint (sec)
set1,97,4.85
set2,92,4.6
set3,97,4.85
set4,92,4.6
set5,95,4.75
set6,97,4.85
set7,92,4.6
set8,97,4.85
set9,97,4.85
set10,100,5
set11,92,4.6
set12,95,4.75
set13,97,4.85
set14,97,4.85
set15,97,4.85
set16,95,4.75
set17,95,4.75
set18,97,4.85
set19,95,4.75
set20,95,4.75
set21,92,4.6
set22,92,4.6
set23,97,4.85
set24,95,4.75
set25,95,4.75
set26,100,5
set27,95,4.75
set28,92,4.6
set29,92,4.6
set30,95,4.75
set31,95,4.75
set32,95,4.75
set33,97,4.85
set34,92,4.6
set35,97,4.85
set36,92,4.6
set37,95,4.75
set38,95,4.75
set39,97,4.85
set40,95,4.75
set41,97,4.85
set42,95,4.75
set43,95,4.75
set44,95,4.75
set45,95,4.75
set46,97,4.85
set47,95,4.75
set48,97,4.85
set49,92,4.6
set50,97,4.85
set51,95,4.75
set52,97,4.85
set53,100,5
set54,100,5
set55,92,4.6
set56,97,4.85
set57,97,4.85
set58,97,4.85
set59,95,4.75
set60,92,4.6
set61,97,4.85
set62,100,5
set63,95,4.75
set64,95,4.75
set65,95,4.75
set66,97,4.85
set67,97,4.85
set68,100,5
set69,95,4.75
set70,95,4.75
set71,95,4.75
set72,92,4.6
set73,95,4.75
set74,92,4.6
set75,97,4.85
set76,95,4.75
set77,97,4.85
set78,97,4.85
set79,97,4.85
set80,95,4.75
set81,95,4.75
set82,95,4.75
set83,95,4.75
set84,97,4.85
set85,97,4.85
set86,97,4.85
set87,90,4.5
set88,95,4.75
set89,97,4.85
set90,95,4.75
set91,97,4.85
set92,97,4.85
set93,95,4.75
set94,95,4.75
set95,100,5
set96,92,4.6
set97,95,4.75
set98,92,4.6
set99,95,4.75
set100,92,4.6
average,95.44,4.772
