,time slot,timepoint (sec)
set1,6,0.3
set2,4,0.2
set3,4,0.2
set4,11,0.55
set5,5,0.25
set6,9,0.45
set7,20,1
set8,9,0.45
set9,2,0.1
set10,6,0.3
set11,8,0.4
set12,2,0.1
set13,10,0.5
set14,4,0.2
set15,8,0.4
set16,7,0.35
set17,3,0.15
set18,8,0.4
set19,2,0.1
set20,7,0.35
set21,8,0.4
set22,5,0.25
set23,4,0.2
set24,9,0.45
set25,10,0.5
set26,11,0.55
set27,4,0.2
set28,7,0.35
set29,4,0.2
set30,5,0.25
set31,3,0.15
set32,15,0.75
set33,9,0.45
set34,11,0.55
set35,16,0.8
set36,9,0.45
set37,9,0.45
set38,12,0.6
set39,8,0.4
set40,3,0.15
set41,6,0.3
set42,7,0.35
set43,6,0.3
set44,15,0.75
set45,2,0.1
set46,13,0.65
set47,5,0.25
set48,4,0.2
set49,31,1.55
set50,25,1.25
set51,3,0.15
set52,6,0.3
set53,6,0.3
set54,12,0.6
set55,11,0.55
set56,7,0.35
set57,19,0.95
set58,3,0.15
set59,3,0.15
set60,8,0.4
set61,8,0.4
set62,8,0.4
set63,5,0.25
set64,13,0.65
set65,7,0.35
set66,16,0.8
set67,5,0.25
set68,11,0.55
set69,5,0.25
set70,4,0.2
set71,6,0.3
set72,6,0.3
set73,4,0.2
set74,12,0.6
set75,2,0.1
set76,8,0.4
set77,5,0.25
set78,6,0.3
set79,4,0.2
set80,7,0.35
set81,9,0.45
set82,2,0.1
set83,2,0.1
set84,7,0.35
set85,4,0.2
set86,8,0.4
set87,1,0.05
set88,6,0.3
set89,8,0.4
set90,7,0.35
set91,22,1.1
set92,6,0.3
set93,7,0.35
set94,9,0.45
set95,4,0.2
set96,6,0.3
set97,5,0.25
set98,4,0.2
set99,3,0.15
set100,3,0.15
average,7.54,0.377
