,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,25,11,4,4,20,4,4,18,4,4,4,4,4,4,4,12,4,16,7,4,4,12,4,4,7,4,16,4,4,6,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,15,4,4,4,4,4,4,4,4,4,4,11,11,4,4,4,21,4,4,16,7,4,4,20,15,4,4,4,10,4,21,14,4,4,4,4,4,4,4,4,4,12,4,4,11,4,4,4,4,6.44
0.1,32,19,10,9,26,9,21,28,10,22,9,11,14,13,21,21,10,40,35,14,23,14,9,13,19,32,40,15,17,23,10,39,14,10,12,18,19,16,27,17,10,16,16,9,10,20,17,17,23,14,16,17,16,10,18,16,18,14,10,11,14,10,12,20,14,14,10,24,13,10,20,23,21,22,31,38,11,14,14,15,18,43,21,14,11,19,10,18,14,16,10,9,21,14,11,17,21,14,19,18,17.47
0.15,67,30,29,17,43,12,13,35,20,37,38,35,13,20,25,36,23,53,57,29,29,42,12,22,29,52,47,29,41,29,20,39,36,21,19,32,45,29,26,35,20,27,41,30,14,40,24,27,32,16,21,37,41,29,39,32,28,18,19,36,45,19,21,25,27,26,29,37,32,23,39,35,26,28,45,43,28,29,15,40,32,53,40,20,16,33,21,34,25,15,15,12,40,27,24,16,30,21,36,32,29.91
0.2,48,36,40,50,47,25,33,44,38,50,54,37,29,40,36,41,37,52,46,46,40,36,24,25,32,58,55,57,49,37,39,42,39,37,26,37,46,47,36,52,42,35,52,37,39,62,35,38,40,28,57,35,49,46,55,45,62,30,40,40,49,36,24,26,37,34,37,39,33,34,44,40,45,56,45,47,45,41,37,34,41,41,48,32,22,40,32,47,32,27,43,30,43,38,45,32,51,34,56,45,40.72
0.25,64,47,51,44,50,35,48,63,38,42,50,55,37,38,50,35,41,51,54,51,54,44,27,34,33,56,59,50,52,41,47,47,57,42,38,59,50,44,41,48,38,39,60,43,40,56,46,34,46,36,47,49,47,46,54,54,46,37,43,52,49,37,46,38,43,46,53,49,40,41,50,44,50,50,60,54,47,45,59,48,43,60,47,47,39,48,43,51,41,37,37,30,49,50,42,38,44,41,51,51,46.18
0.3,24,5,54,51,10,44,48,22,59,48,59,55,46,53,54,9,49,8,9,54,58,8,38,40,5,67,8,65,62,5,45,8,54,51,43,55,62,57,58,60,48,56,54,57,46,55,15,43,53,39,62,8,58,53,52,62,59,41,49,61,62,44,11,8,54,47,46,5,44,47,5,8,47,55,14,19,52,50,61,8,51,6,8,51,38,65,49,63,43,42,38,47,8,58,51,8,47,48,56,54,40.99
0.35,27,20,10,13,23,10,16,37,10,10,12,10,10,10,10,11,10,19,34,24,12,22,13,10,13,11,18,13,10,12,15,20,10,13,10,10,10,10,17,13,10,27,10,10,19,23,24,17,11,10,20,27,10,15,10,10,10,13,10,14,10,10,35,29,10,10,17,18,16,10,15,18,13,21,48,21,10,16,17,23,10,21,29,14,10,10,10,10,10,13,15,10,20,10,10,25,11,10,10,17,15.3
0.4,51,33,30,41,28,32,41,38,32,31,26,22,31,32,30,24,26,26,50,36,36,16,23,31,16,31,29,43,25,19,41,35,32,37,34,29,20,34,41,33,33,26,27,20,22,32,34,25,36,24,35,37,48,33,20,29,21,26,24,37,31,31,32,38,34,36,35,27,41,31,17,30,14,21,39,37,29,31,39,29,28,33,35,40,38,22,31,20,24,45,33,25,32,33,26,27,19,33,33,22,30.75
0.45,51,39,47,31,29,54,28,5,49,45,31,43,24,28,33,26,37,46,68,31,38,43,34,43,27,32,40,62,35,25,60,37,46,38,43,36,63,59,49,47,65,44,39,36,35,48,43,36,50,42,49,37,54,55,23,32,30,31,31,40,48,39,16,42,32,49,50,28,46,47,33,46,24,44,66,39,47,40,41,37,37,51,40,32,53,25,62,19,40,54,42,25,44,52,46,43,33,44,40,37,40.55
0.5,62,44,66,56,48,64,52,6,54,68,48,63,48,56,52,14,56,42,60,44,63,41,42,61,36,41,44,58,56,27,64,51,57,53,58,43,55,57,55,77,59,41,41,51,43,53,49,55,63,45,58,48,72,57,29,53,40,56,68,61,69,60,43,52,51,68,54,47,60,61,33,46,25,51,56,58,59,53,52,40,51,53,43,51,63,49,55,42,53,66,58,54,61,70,51,51,48,54,58,36,51.89
0.55,8,60,56,59,47,68,49,6,58,60,56,48,47,66,59,28,55,53,70,53,62,51,58,59,42,13,58,75,60,30,72,44,59,57,63,55,67,68,33,60,63,63,48,54,54,64,59,75,56,50,69,52,65,65,50,52,48,48,64,52,65,53,45,56,50,57,67,45,57,71,33,57,36,68,86,33,60,59,60,73,60,68,36,59,70,48,63,45,74,66,56,53,73,56,61,64,51,65,58,48,55.48
0.6,34,5,82,68,40,84,62,6,72,77,21,72,58,69,58,8,78,8,9,53,63,56,34,70,20,34,8,75,71,11,51,12,68,31,68,57,58,84,36,78,71,25,59,64,20,18,22,55,73,65,71,8,77,29,43,56,56,43,72,67,68,71,15,15,67,74,44,5,47,62,5,10,16,43,15,53,57,64,31,45,63,5,21,59,74,70,94,66,71,55,17,59,44,67,70,23,33,69,66,19,47.95
0.65,31,13,28,30,9,35,19,5,25,33,25,24,28,30,32,16,34,26,22,25,21,12,31,27,18,44,27,29,29,16,45,28,44,47,15,31,30,31,59,33,22,38,31,32,30,38,42,43,20,35,47,20,20,39,19,27,26,33,38,51,22,16,30,31,24,35,40,22,51,22,19,28,23,31,19,56,20,14,26,16,26,23,29,37,32,42,28,28,30,36,36,16,11,15,21,44,42,15,34,50,28.98
0.7,47,21,54,55,28,44,35,8,39,46,31,33,48,36,41,24,60,21,46,32,33,39,35,37,25,50,39,45,47,26,57,49,44,57,45,36,40,37,66,47,55,46,38,39,34,50,24,40,42,42,45,33,35,47,29,33,54,44,43,42,51,45,44,35,44,41,51,27,50,38,27,36,49,34,42,62,47,25,44,48,34,27,31,46,40,63,46,42,46,49,51,27,39,29,40,39,38,28,63,53,40.89
0.75,45,37,48,51,46,49,43,11,53,58,44,53,54,51,54,33,47,36,61,47,43,50,41,46,45,62,44,63,47,29,58,29,54,68,34,52,33,39,63,59,36,44,50,53,47,55,44,44,40,55,55,33,48,60,38,46,52,51,46,62,43,37,24,52,49,54,54,35,57,41,29,47,51,44,38,16,39,32,59,33,42,27,46,42,44,58,49,47,50,56,51,46,36,37,41,44,42,56,53,57,45.97
0.8,50,47,13,23,47,13,40,25,63,63,28,58,59,29,38,9,62,46,65,52,53,55,17,58,46,60,49,59,25,42,31,33,73,52,52,30,39,19,22,64,59,45,31,39,21,42,37,24,49,16,50,42,58,31,17,44,23,17,20,28,51,55,36,53,54,62,29,38,23,54,33,56,52,13,55,47,59,45,68,36,13,31,47,32,23,85,31,63,28,20,43,43,53,35,49,53,66,50,58,66,42.1
0.85,8,52,27,35,53,39,16,30,50,26,42,42,13,52,36,29,24,51,69,35,59,27,34,25,15,22,50,26,36,13,42,41,44,62,52,51,50,38,34,27,20,42,38,45,28,71,48,50,23,48,51,53,18,24,42,76,39,40,32,55,22,34,40,26,21,21,48,42,55,57,50,78,46,30,63,50,32,50,33,30,43,46,48,46,65,19,35,24,55,35,64,60,49,32,22,53,23,61,22,83,40.33
0.9,39,7,48,47,61,64,42,36,55,68,36,41,31,28,51,33,73,17,9,56,29,60,47,55,36,29,33,32,31,41,52,8,26,18,22,49,16,46,40,57,34,37,35,33,50,13,37,52,48,42,47,9,47,30,56,29,46,31,48,34,36,64,8,25,44,60,47,14,46,23,5,30,41,45,38,48,55,73,22,32,45,5,23,67,60,42,50,28,68,57,38,25,57,30,39,22,34,53,31,15,38.72
0.95,56,20,48,69,8,53,54,5,32,45,42,27,41,53,43,50,56,30,28,13,37,34,49,36,45,27,25,26,48,38,53,30,61,32,23,44,44,62,52,42,32,46,41,43,53,41,43,61,40,46,45,46,48,59,48,30,59,43,45,49,32,29,34,44,28,64,55,37,55,17,23,42,60,44,28,63,20,33,55,14,58,26,23,31,39,58,52,41,69,62,51,36,12,41,36,36,54,26,47,41,41.15
1,52,31,55,70,20,62,67,23,34,57,56,36,54,62,56,44,60,35,49,34,39,39,52,58,50,43,43,36,51,47,57,41,53,65,44,58,57,55,62,68,62,45,37,29,57,48,37,72,42,52,62,33,66,49,42,40,63,62,59,51,28,61,42,36,47,50,57,53,53,41,33,8,49,55,48,65,42,38,52,29,55,31,38,51,64,64,61,48,74,67,55,56,40,40,54,30,35,49,63,65,49.1
1.05,63,45,67,57,26,66,58,41,42,64,61,21,47,63,59,70,65,18,52,49,55,51,53,68,64,39,33,29,67,52,67,52,56,61,49,70,58,35,62,63,54,13,48,55,23,71,32,52,58,62,26,62,61,67,42,49,58,55,64,56,55,54,39,42,50,63,19,59,68,46,37,35,60,66,43,43,43,34,60,39,80,38,41,60,68,65,37,41,48,75,54,52,28,47,53,38,45,48,48,81,51.28
1.1,71,39,24,25,33,13,72,40,19,68,13,39,59,41,37,35,70,36,52,61,58,59,31,71,36,37,50,13,31,38,22,48,51,63,53,13,35,39,30,67,64,30,15,36,40,54,55,13,53,22,61,54,70,22,25,58,16,30,17,19,54,58,54,48,58,57,33,68,15,48,36,37,13,19,41,11,58,60,68,42,13,43,52,23,21,71,43,31,23,21,22,51,34,58,59,46,46,66,54,66,41.67
1.15,8,60,29,53,48,36,46,53,39,21,27,34,14,36,54,47,16,35,50,67,64,8,53,19,19,52,18,28,55,15,46,57,29,71,48,46,55,65,32,17,15,46,30,58,46,59,23,19,21,26,36,70,23,66,37,70,40,58,47,33,20,26,53,8,17,22,36,60,27,61,62,49,45,36,54,21,22,57,19,25,30,50,47,46,46,20,56,42,49,61,31,64,46,33,22,51,37,63,27,68,40.02
1.2,41,7,13,61,50,43,46,63,36,31,41,41,36,52,73,43,53,34,9,76,22,25,55,64,24,13,23,61,28,28,49,21,50,17,19,63,13,56,63,15,25,42,44,41,56,13,36,45,28,43,53,8,43,54,48,16,69,20,67,44,34,39,12,34,47,37,81,7,26,26,7,48,39,59,21,27,47,57,35,31,57,6,8,52,58,48,56,13,52,77,50,13,47,24,36,61,56,41,28,13,38.63
1.25,50,32,34,65,29,63,39,5,51,41,37,55,49,35,41,56,56,33,23,41,47,49,64,32,42,49,27,58,56,36,63,41,73,36,32,66,28,56,47,31,39,54,56,43,57,47,41,51,30,41,61,39,48,57,29,28,62,41,62,65,33,28,44,61,40,52,56,37,50,40,41,61,70,62,41,24,31,54,58,20,55,50,28,49,42,42,70,25,69,87,52,38,9,44,43,26,62,25,34,50,45.22
1.3,54,45,39,84,16,58,56,38,50,54,45,56,65,42,59,50,65,40,22,49,61,58,70,73,30,44,25,68,52,51,61,37,57,36,41,63,39,66,76,44,36,64,63,24,57,57,40,56,39,31,67,37,54,49,41,48,63,60,57,64,29,35,44,58,51,68,36,48,45,17,50,8,60,61,49,24,55,26,49,22,64,51,38,67,49,56,13,50,56,79,53,46,24,28,55,27,60,35,50,54,48.36
1.35,60,49,42,86,20,58,56,39,66,55,45,13,61,56,37,21,54,8,27,47,66,56,32,48,57,80,31,65,74,45,28,55,57,49,64,75,63,19,62,58,78,13,61,58,17,67,18,52,48,60,42,54,57,79,17,50,63,64,58,43,43,43,47,58,51,67,20,63,52,47,69,40,67,48,64,31,53,57,57,29,65,55,40,59,47,31,44,61,46,91,67,76,38,53,56,44,71,47,59,76,51.15
1.4,55,54,54,28,38,14,35,67,19,57,16,36,85,50,56,37,83,34,46,60,62,70,41,66,23,48,8,14,32,34,15,53,36,55,51,13,47,56,37,56,54,23,13,52,55,66,28,13,56,34,38,44,41,13,61,64,15,35,13,14,42,40,50,66,64,26,44,55,21,40,48,51,13,13,63,21,69,66,50,38,20,53,53,28,35,40,48,64,15,22,28,60,42,67,46,60,14,58,40,54,42
1.45,8,52,63,33,35,29,52,53,31,24,32,51,13,41,59,38,14,67,46,64,30,26,53,13,18,66,28,32,56,23,27,44,37,36,42,47,64,72,51,67,27,47,45,81,43,72,52,34,48,63,19,53,13,47,57,61,25,59,30,36,14,30,8,9,13,34,48,63,62,65,63,51,57,53,44,43,26,77,33,52,39,79,56,48,41,15,48,64,51,30,25,64,50,34,14,59,47,66,56,104,43.84
1.5,16,16,14,47,17,50,36,62,31,22,31,58,34,46,68,23,16,63,12,25,26,8,60,21,25,15,49,55,26,23,44,29,58,37,14,63,13,65,38,22,51,43,71,43,59,17,56,49,16,50,35,11,41,54,46,13,52,14,37,47,33,44,22,33,43,48,57,12,57,41,18,53,58,61,9,46,53,70,33,22,61,7,20,35,42,30,67,15,47,40,52,13,51,54,22,59,56,37,52,13,37.69
1.55,19,40,37,43,31,56,16,12,56,46,64,60,55,48,41,48,32,60,28,29,33,29,71,45,53,25,47,48,48,11,54,37,65,53,47,61,33,72,54,39,41,60,64,56,62,38,56,62,38,27,50,21,56,70,18,25,42,29,37,71,56,43,53,45,50,63,62,44,75,51,40,63,83,69,30,50,38,49,46,43,56,24,41,41,49,63,68,37,62,57,53,24,17,41,38,8,72,39,57,30,45.99
