,time slot,timepoint (sec)
set1,13,0.65
set2,19,0.95
set3,56,2.8
set4,17,0.85
set5,95,4.75
set6,26,1.3
set7,18,0.9
set8,13,0.65
set9,38,1.9
set10,38,1.9
set11,23,1.15
set12,82,4.1
set13,23,1.15
set14,16,0.8
set15,18,0.9
set16,96,4.8
set17,24,1.2
set18,16,0.8
set19,32,1.6
set20,12,0.6
set21,24,1.2
set22,12,0.6
set23,33,1.65
set24,26,1.3
set25,5,0.25
set26,55,2.75
set27,31,1.55
set28,20,1
set29,18,0.9
set30,32,1.6
set31,16,0.8
set32,22,1.1
set33,40,2
set34,61,3.05
set35,4,0.2
set36,13,0.65
set37,18,0.9
set38,17,0.85
set39,55,2.75
set40,22,1.1
set41,62,3.1
set42,43,2.15
set43,18,0.9
set44,49,2.45
set45,23,1.15
set46,53,2.65
set47,9,0.45
set48,19,0.95
set49,30,1.5
set50,30,1.5
set51,16,0.8
set52,17,0.85
set53,10,0.5
set54,17,0.85
set55,19,0.95
set56,16,0.8
set57,17,0.85
set58,16,0.8
set59,23,1.15
set60,9,0.45
set61,13,0.65
set62,52,2.6
set63,21,1.05
set64,29,1.45
set65,16,0.8
set66,61,3.05
set67,29,1.45
set68,16,0.8
set69,12,0.6
set70,35,1.75
set71,27,1.35
set72,21,1.05
set73,29,1.45
set74,7,0.35
set75,42,2.1
set76,55,2.75
set77,61,3.05
set78,15,0.75
set79,50,2.5
set80,20,1
set81,35,1.75
set82,30,1.5
set83,38,1.9
set84,14,0.7
set85,9,0.45
set86,21,1.05
set87,24,1.2
set88,15,0.75
set89,21,1.05
set90,26,1.3
set91,16,0.8
set92,23,1.15
set93,7,0.35
set94,37,1.85
set95,23,1.15
set96,15,0.75
set97,10,0.5
set98,29,1.45
set99,57,2.85
set100,20,1
average,27.76,1.388
