,time slot,time point (sec)
set 1,62,3.1
set 2,68,3.4
set 3,67,3.35
set 4,65,3.25
set 5,68,3.4
set 6,67,3.35
set 7,65,3.25
set 8,65,3.25
set 9,67,3.35
set 10,65,3.25
set 11,67,3.35
set 12,65,3.25
set 13,65,3.25
set 14,67,3.35
set 15,65,3.25
set 16,65,3.25
set 17,68,3.4
set 18,65,3.25
set 19,65,3.25
set 20,65,3.25
set 21,65,3.25
set 22,63,3.15
set 23,67,3.35
set 24,65,3.25
set 25,67,3.35
set 26,63,3.15
set 27,67,3.35
set 28,67,3.35
set 29,67,3.35
set 30,65,3.25
set 31,67,3.35
set 32,65,3.25
set 33,65,3.25
set 34,65,3.25
set 35,65,3.25
set 36,67,3.35
set 37,67,3.35
set 38,65,3.25
set 39,67,3.35
set 40,65,3.25
set 41,65,3.25
set 42,63,3.15
set 43,65,3.25
set 44,65,3.25
set 45,65,3.25
set 46,67,3.35
set 47,67,3.35
set 48,67,3.35
set 49,67,3.35
set 50,65,3.25
set 51,67,3.35
set 52,65,3.25
set 53,63,3.15
set 54,63,3.15
set 55,65,3.25
set 56,65,3.25
set 57,67,3.35
set 58,65,3.25
set 59,63,3.15
set 60,63,3.15
set 61,65,3.25
set 62,67,3.35
set 63,67,3.35
set 64,67,3.35
set 65,67,3.35
set 66,65,3.25
set 67,67,3.35
set 68,65,3.25
set 69,68,3.4
set 70,67,3.35
set 71,65,3.25
set 72,65,3.25
set 73,63,3.15
set 74,65,3.25
set 75,67,3.35
set 76,67,3.35
set 77,64,3.2
set 78,64,3.2
set 79,64,3.2
set 80,65,3.25
set 81,67,3.35
set 82,67,3.35
set 83,67,3.35
set 84,65,3.25
set 85,65,3.25
set 86,63,3.15
set 87,64,3.2
set 88,64,3.2
set 89,67,3.35
set 90,65,3.25
set 91,65,3.25
set 92,65,3.25
set 93,67,3.35
set 94,67,3.35
set 95,67,3.35
set 96,65,3.25
set 97,67,3.35
set 98,65,3.25
set 99,67,3.35
set 100,63,3.15
average,65.58,3.279
