,time slot,timepoint (sec)
set1,47,2.35
set2,45,2.25
set3,47,2.35
set4,42,2.1
set5,47,2.35
set6,47,2.35
set7,45,2.25
set8,45,2.25
set9,47,2.35
set10,47,2.35
set11,42,2.1
set12,50,2.5
set13,47,2.35
set14,42,2.1
set15,50,2.5
set16,45,2.25
set17,47,2.35
set18,47,2.35
set19,47,2.35
set20,45,2.25
set21,47,2.35
set22,45,2.25
set23,47,2.35
set24,50,2.5
set25,45,2.25
set26,47,2.35
set27,45,2.25
set28,45,2.25
set29,47,2.35
set30,45,2.25
set31,45,2.25
set32,45,2.25
set33,45,2.25
set34,45,2.25
set35,47,2.35
set36,47,2.35
set37,45,2.25
set38,47,2.35
set39,45,2.25
set40,47,2.35
set41,45,2.25
set42,45,2.25
set43,47,2.35
set44,45,2.25
set45,47,2.35
set46,47,2.35
set47,45,2.25
set48,50,2.5
set49,45,2.25
set50,50,2.5
set51,42,2.1
set52,45,2.25
set53,47,2.35
set54,45,2.25
set55,45,2.25
set56,47,2.35
set57,45,2.25
set58,47,2.35
set59,45,2.25
set60,47,2.35
set61,45,2.25
set62,47,2.35
set63,45,2.25
set64,42,2.1
set65,47,2.35
set66,45,2.25
set67,45,2.25
set68,47,2.35
set69,47,2.35
set70,45,2.25
set71,47,2.35
set72,47,2.35
set73,45,2.25
set74,45,2.25
set75,45,2.25
set76,47,2.35
set77,47,2.35
set78,47,2.35
set79,47,2.35
set80,45,2.25
set81,45,2.25
set82,45,2.25
set83,45,2.25
set84,47,2.35
set85,45,2.25
set86,47,2.35
set87,45,2.25
set88,45,2.25
set89,45,2.25
set90,47,2.35
set91,50,2.5
set92,47,2.35
set93,45,2.25
set94,45,2.25
set95,50,2.5
set96,47,2.35
set97,45,2.25
set98,45,2.25
set99,47,2.35
set100,47,2.35
average,46.04,2.302
