,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0.65,28,23,25,10,33,27,16,36,56,24,25,38,24,59,36,24,29,27,25,36,25,15,29,29,12,14,10,21,30,16,18,25,43,47,15,15,29,25,27,18,25,30,28,29,31,37,33,31,34,30,30,19,36,44,43,16,23,53,19,18,27,13,20,26,27,36,21,41,41,5,26,33,30,62,30,12,29,37,25,26,30,50,20,42,20,21,23,30,27,42,37,26,19,38,42,17,18,25,21,22,28.1
0.7,27,20,26,23,35,28,26,31,30,22,36,58,34,10,43,36,23,37,37,18,31,34,11,39,30,27,23,37,40,31,20,35,20,47,11,26,40,31,34,41,44,38,27,23,23,52,42,55,40,38,37,26,42,36,53,20,8,63,30,29,19,21,33,43,33,34,39,63,53,12,28,53,37,37,46,19,25,40,52,24,41,59,26,43,23,31,31,34,37,33,38,38,31,38,51,35,24,29,24,36,33.47
0.75,13,25,13,22,40,27,35,38,42,30,34,36,35,34,44,34,23,39,40,21,27,30,16,37,37,25,35,44,43,32,33,46,25,54,31,41,47,34,33,33,33,41,34,24,37,46,27,46,42,40,46,35,22,43,54,25,21,43,33,34,28,19,37,41,39,47,45,61,28,18,36,28,40,44,49,20,44,41,40,33,36,60,19,59,26,36,42,39,35,46,52,40,39,40,33,38,35,50,31,43,35.91
0.8,31,26,30,32,45,32,42,22,14,41,41,33,45,33,25,38,14,46,41,26,16,39,34,18,39,44,49,52,49,34,34,56,33,16,31,43,25,20,25,41,40,43,46,30,45,30,34,33,22,15,20,43,22,18,34,26,30,26,40,29,36,34,38,25,43,32,57,60,13,23,33,37,18,35,56,35,23,33,44,33,34,65,30,24,30,47,20,46,32,15,58,50,51,48,15,49,50,28,32,50,34.63
0.85,46,43,33,31,14,44,45,28,33,5,31,38,56,53,29,23,25,22,44,44,28,27,32,52,27,42,46,28,17,43,5,44,45,26,38,44,39,34,35,22,24,15,46,24,46,24,45,36,34,29,35,58,30,47,25,13,35,30,20,13,29,38,23,41,20,23,34,24,35,28,26,13,48,45,31,23,32,37,15,37,51,36,35,54,31,60,27,13,37,48,33,19,27,67,35,33,46,37,43,34,33.58
0.9,46,16,29,38,34,51,59,45,37,22,17,12,31,50,45,28,40,34,39,28,14,53,35,39,38,76,54,32,17,30,22,38,65,40,18,70,23,41,15,32,35,21,31,13,24,34,6,44,30,39,49,28,24,41,31,32,35,31,43,39,35,40,32,35,30,35,25,35,33,27,43,29,24,44,40,21,40,25,24,33,62,26,49,21,22,17,37,15,41,46,36,36,36,37,27,38,60,32,5,46,34.22
0.95,54,29,48,32,48,22,13,31,45,37,29,30,38,59,39,36,48,29,22,35,24,23,51,50,12,17,10,33,36,5,24,27,42,43,40,22,32,34,24,31,35,17,41,30,36,42,11,19,34,46,37,9,27,53,42,30,42,42,50,35,19,23,27,48,42,24,38,29,47,12,51,28,33,41,42,32,48,38,25,35,39,38,55,38,29,30,31,23,44,44,47,21,22,19,48,35,15,47,21,28,33.38
1,58,46,44,43,45,47,19,30,47,34,32,32,28,10,58,56,52,39,28,37,23,32,9,61,37,31,16,44,38,22,53,34,55,61,20,30,37,33,36,37,46,44,35,35,27,48,21,32,44,52,51,35,38,38,53,42,24,44,44,33,53,35,32,51,48,35,44,45,46,17,60,50,36,65,25,31,35,57,28,25,57,42,15,39,21,35,45,56,49,44,64,32,39,26,44,38,32,23,27,37,38.63
1.05,17,39,50,45,41,21,23,42,53,35,52,37,31,17,15,43,23,45,25,50,38,34,18,44,36,23,20,51,54,23,53,34,13,55,28,38,45,43,41,39,19,37,38,35,30,51,27,44,46,52,39,28,11,49,31,31,10,32,66,31,32,34,42,59,51,32,48,61,55,41,66,44,55,18,31,40,30,51,23,17,34,15,22,40,36,11,56,50,22,57,34,35,49,21,38,47,44,46,37,41,37.06
1.1,36,54,60,42,54,44,39,22,13,64,27,46,34,24,25,56,35,47,29,31,13,55,35,28,54,44,24,28,39,26,54,25,19,42,33,34,14,59,39,57,43,24,34,34,25,24,27,37,32,29,29,41,31,14,61,40,40,34,41,42,46,42,52,45,13,31,61,59,15,30,64,53,37,54,13,41,35,35,34,32,38,19,29,13,45,28,20,55,42,13,31,29,48,40,16,21,60,31,40,57,36.53
1.15,35,29,8,51,18,52,41,38,14,5,33,50,43,26,29,26,34,14,52,33,55,20,41,34,36,41,48,17,26,28,19,33,37,30,40,23,31,30,30,50,38,35,42,53,28,32,35,51,34,35,33,40,24,31,52,16,44,55,17,8,36,52,26,54,35,44,13,27,34,39,25,13,39,34,17,18,24,36,26,36,38,28,28,27,40,28,39,66,36,27,41,27,33,40,19,29,46,53,54,30,33.6
1.2,29,34,14,38,44,58,42,39,14,36,13,20,20,27,44,22,35,25,22,19,28,34,43,48,44,41,38,26,39,45,41,51,42,37,6,20,41,43,26,34,25,34,18,13,37,33,25,55,38,46,14,54,39,33,48,30,42,44,36,18,37,36,32,27,47,37,28,40,46,32,19,40,9,41,16,23,33,26,40,36,38,41,49,43,23,37,50,21,48,22,20,45,44,60,19,43,55,63,8,44,34.22
1.25,43,16,14,21,44,24,13,60,48,36,30,33,28,49,42,39,47,34,27,42,24,34,44,51,14,50,49,42,45,7,14,51,46,52,22,20,46,24,29,37,41,30,28,32,17,42,27,18,13,44,38,8,37,41,67,42,45,59,51,32,16,27,42,32,48,52,38,18,47,50,13,49,30,44,34,25,38,17,21,35,13,48,57,49,41,49,30,48,47,55,35,32,15,61,29,46,18,63,39,36,35.9
1.3,40,30,15,50,50,43,35,34,29,37,35,28,39,22,63,42,41,34,25,34,51,27,23,50,42,47,26,45,52,26,16,66,54,50,20,29,45,40,42,15,43,43,32,33,29,38,33,37,14,63,26,24,8,44,41,33,42,76,44,31,31,34,61,34,63,20,47,21,29,6,24,60,52,33,41,36,24,29,48,44,50,60,32,45,34,50,38,35,61,33,53,42,18,29,31,54,26,37,26,39,37.56
1.35,13,22,8,47,55,17,34,47,44,43,38,46,43,20,28,44,13,42,13,23,39,28,35,17,36,39,38,44,34,35,20,16,20,63,18,36,60,32,38,30,28,12,21,44,35,39,14,49,15,26,48,37,18,69,36,16,9,13,42,43,27,47,42,47,51,47,50,31,25,24,37,49,33,37,37,27,30,45,56,15,50,43,16,63,34,22,49,44,29,52,51,48,19,33,44,56,39,48,42,18,34.89
1.4,23,41,19,62,28,41,51,25,50,45,48,37,53,26,49,46,18,48,20,41,13,25,41,40,35,46,51,33,54,43,34,24,42,13,28,39,14,50,29,52,22,28,24,55,43,19,14,37,23,22,51,49,27,29,47,32,38,29,47,39,49,43,21,40,19,57,79,32,33,31,45,54,42,38,27,13,47,49,63,30,51,37,39,40,39,28,29,54,45,29,54,13,20,39,29,16,44,14,30,27,36.41
1.45,27,20,18,20,20,33,52,25,65,23,62,43,25,38,16,32,28,21,40,23,44,26,45,52,37,44,16,29,46,24,18,38,58,22,40,43,26,14,23,45,43,19,30,52,45,29,25,46,34,26,45,41,29,30,31,26,45,35,14,17,36,59,28,20,41,43,38,54,40,44,46,13,55,58,23,12,55,36,38,38,60,56,29,40,45,57,38,16,39,49,30,26,28,28,33,24,55,25,10,32,34.8
1.5,32,42,22,33,30,62,58,31,18,35,30,13,26,6,22,9,34,32,38,40,35,34,58,53,32,75,41,41,30,53,26,43,29,29,5,34,31,30,31,65,33,37,18,34,43,34,8,42,45,36,27,52,58,29,43,32,39,34,23,34,31,40,45,20,42,58,38,48,41,44,43,16,44,46,28,23,59,20,43,42,58,43,43,50,18,14,51,27,46,38,14,32,36,43,28,39,26,36,19,50,35.71
1.55,44,24,35,29,49,50,18,38,41,23,13,28,20,10,31,14,42,33,42,35,46,36,42,51,17,66,20,54,44,13,21,47,47,49,17,30,33,46,10,60,55,27,29,42,22,43,17,14,56,32,41,10,48,40,45,35,46,42,41,35,22,24,36,21,63,53,22,22,56,56,10,18,9,53,27,21,28,29,26,61,47,65,42,47,37,44,63,29,38,29,30,40,44,57,38,52,24,37,30,46,35.84
1.6,55,39,38,39,55,57,28,20,41,39,20,36,35,9,40,32,10,40,53,17,54,43,16,62,18,15,38,55,56,40,34,49,57,43,16,40,55,48,31,25,38,33,20,45,19,38,24,27,30,17,56,22,8,43,71,40,50,60,33,48,33,27,49,31,58,28,27,27,17,8,18,23,22,21,38,12,27,33,41,42,45,64,54,43,37,48,62,34,58,43,37,57,38,18,52,51,24,43,34,52,36.96
