,time slot,timepoint (sec)
set1,45,2.25
set2,42,2.1
set3,45,2.25
set4,47,2.35
set5,45,2.25
set6,42,2.1
set7,42,2.1
set8,45,2.25
set9,40,2
set10,42,2.1
set11,47,2.35
set12,42,2.1
set13,47,2.35
set14,42,2.1
set15,45,2.25
set16,45,2.25
set17,45,2.25
set18,42,2.1
set19,47,2.35
set20,45,2.25
set21,42,2.1
set22,45,2.25
set23,45,2.25
set24,45,2.25
set25,45,2.25
set26,42,2.1
set27,42,2.1
set28,45,2.25
set29,45,2.25
set30,42,2.1
set31,45,2.25
set32,45,2.25
set33,42,2.1
set34,45,2.25
set35,42,2.1
set36,45,2.25
set37,45,2.25
set38,45,2.25
set39,42,2.1
set40,42,2.1
set41,37,1.85
set42,42,2.1
set43,42,2.1
set44,45,2.25
set45,45,2.25
set46,45,2.25
set47,45,2.25
set48,40,2
set49,45,2.25
set50,42,2.1
set51,45,2.25
set52,45,2.25
set53,42,2.1
set54,45,2.25
set55,42,2.1
set56,42,2.1
set57,42,2.1
set58,42,2.1
set59,42,2.1
set60,42,2.1
set61,42,2.1
set62,42,2.1
set63,42,2.1
set64,42,2.1
set65,40,2
set66,45,2.25
set67,40,2
set68,47,2.35
set69,42,2.1
set70,45,2.25
set71,42,2.1
set72,45,2.25
set73,47,2.35
set74,40,2
set75,42,2.1
set76,45,2.25
set77,45,2.25
set78,40,2
set79,40,2
set80,47,2.35
set81,42,2.1
set82,40,2
set83,42,2.1
set84,45,2.25
set85,42,2.1
set86,45,2.25
set87,40,2
set88,45,2.25
set89,42,2.1
set90,40,2
set91,47,2.35
set92,42,2.1
set93,42,2.1
set94,45,2.25
set95,42,2.1
set96,42,2.1
set97,45,2.25
set98,42,2.1
set99,42,2.1
set100,40,2
average,43.27,2.1635
