,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,14,4,4,4,6,4,4,4,4,4,4,4,4,4,12,15,10,7,4,4,4,14,14,4,4,4,11,8,4,4,13,8,4,4,4,14,9,4,4,20,4,4,8,14,6,4,8,4,13,4,4,4,12,4,4,9,4,15,6,7,4,7,15,8,10,13,4,4,12,6,9,4,4,12,4,4,4,16,4,16,7,4,4,7,13,7,5,13,4,4,14,13,4,4,4,4,22,4,4,4,7.18
0.1,22,9,10,16,19,16,9,12,11,18,20,18,19,9,21,23,20,18,18,17,10,22,18,14,9,13,27,26,14,8,18,11,17,17,13,21,12,9,14,40,16,14,25,16,11,19,17,14,32,9,9,10,15,11,15,12,17,25,27,26,11,15,40,9,11,32,16,34,19,25,15,8,19,12,18,11,16,15,13,23,14,9,9,10,20,9,20,22,11,12,24,19,11,23,15,13,20,15,13,15,16.64
0.15,31,20,15,25,27,34,24,21,15,30,28,22,22,20,40,32,29,25,25,17,22,33,29,22,17,16,34,36,23,17,32,15,23,26,20,31,25,12,15,38,14,39,31,27,21,32,35,17,37,13,18,22,32,24,27,17,23,33,25,34,17,24,30,24,28,32,21,35,26,39,19,10,22,29,24,19,27,25,17,32,20,24,17,24,34,13,27,32,20,24,24,31,13,39,31,19,25,21,27,24,24.98
0.2,35,30,34,33,24,38,28,39,19,39,31,34,36,33,36,36,33,32,41,29,32,33,34,34,33,23,39,37,35,29,41,14,35,36,38,33,28,26,27,36,29,37,40,32,29,38,33,38,38,34,30,32,30,29,30,24,31,34,31,42,29,24,36,21,28,36,38,43,24,38,24,23,41,24,33,22,37,30,26,31,24,39,33,27,34,14,32,34,26,36,31,33,30,41,36,29,34,30,34,37,32.06
0.25,48,34,40,31,42,33,41,38,25,38,38,37,40,30,39,37,35,32,36,35,35,44,33,34,33,28,37,39,32,32,34,25,32,40,35,35,34,20,33,40,29,36,28,37,31,37,35,42,36,33,30,34,34,38,37,24,36,31,36,43,30,37,36,24,37,39,37,42,29,42,30,33,33,40,41,30,41,37,29,35,29,33,32,27,38,22,29,35,32,37,31,32,34,43,40,38,35,36,33,35,34.64
0.3,10,41,38,41,7,45,37,38,32,38,38,37,38,37,16,8,28,8,39,37,40,9,15,34,35,32,12,8,33,39,16,5,41,36,39,8,8,29,32,8,37,42,8,5,8,40,8,36,8,37,41,37,5,35,42,8,32,8,8,13,46,5,5,12,12,8,40,41,5,12,5,35,41,5,35,30,42,8,36,8,5,38,39,5,5,5,6,8,32,39,16,13,39,43,41,38,8,42,39,35,24.77
0.35,38,10,18,10,11,10,15,15,10,14,10,10,10,22,25,20,30,16,11,16,10,24,30,11,24,10,27,22,17,10,22,14,10,10,10,14,14,10,10,31,14,12,22,6,21,10,21,17,25,10,10,11,22,12,10,21,10,25,21,23,10,7,15,10,28,25,10,46,14,24,15,11,10,11,15,17,10,19,10,35,18,19,10,13,24,13,10,20,12,14,35,20,24,10,12,14,25,11,10,10,16.4
0.4,42,25,31,28,12,24,21,18,28,37,16,29,32,38,39,32,39,17,40,24,27,32,20,26,24,29,30,40,33,19,24,15,17,24,28,22,15,22,22,29,37,24,24,6,24,28,30,32,30,21,23,24,21,34,27,22,17,36,28,26,24,17,24,28,22,21,25,30,16,35,23,25,31,23,24,24,36,19,32,25,26,23,27,15,19,15,15,23,30,33,31,34,32,26,22,27,31,28,26,28,25.99
0.45,54,27,21,27,20,35,31,26,37,26,39,28,37,39,49,43,40,19,42,31,31,35,41,33,43,33,43,40,24,29,15,21,31,28,31,39,33,24,29,39,47,32,35,7,34,34,45,16,36,38,26,35,33,36,43,31,30,38,43,37,36,19,29,25,46,31,21,52,20,41,24,22,35,27,36,39,39,28,33,35,30,27,41,22,27,23,23,40,32,37,38,34,34,46,36,36,33,33,30,47,32.96
0.5,41,36,31,43,17,38,47,35,41,41,41,36,49,46,38,36,28,36,41,44,51,40,41,45,37,51,35,36,36,42,33,20,40,37,45,42,38,41,39,38,50,43,38,21,35,42,40,30,35,36,35,43,43,47,43,52,39,38,42,49,37,32,36,40,31,40,30,41,24,43,34,27,46,34,41,37,52,30,50,42,35,37,43,21,27,26,30,31,40,53,47,41,40,48,40,45,41,43,44,46,38.78
0.55,52,40,49,35,23,40,41,35,46,39,40,38,45,40,38,38,40,36,50,41,40,43,26,47,44,47,31,37,37,42,48,27,48,37,54,34,28,41,38,36,45,46,37,23,40,43,35,43,35,43,45,36,43,52,42,38,44,40,42,53,41,42,47,27,42,44,31,48,31,42,34,31,45,37,39,52,38,36,41,39,33,48,54,37,30,40,5,36,48,40,26,18,46,43,45,49,40,41,47,47,39.76
0.6,22,62,29,42,10,52,20,40,49,33,47,40,44,50,10,8,9,33,50,25,46,28,30,41,21,50,11,10,46,46,23,5,51,41,42,10,12,54,47,9,31,39,16,31,17,47,8,56,16,47,44,47,6,27,47,18,47,9,11,48,46,36,25,31,8,19,43,18,14,34,22,47,45,5,17,25,39,20,50,10,7,46,46,5,5,7,24,9,35,27,27,43,35,48,27,25,30,36,53,47,30.46
