,time slot,timepoint (sec)
set1,25,1.25
set2,20,1
set3,60,3
set4,19,0.95
set5,57,2.85
set6,15,0.75
set7,98,4.9
set8,92,4.6
set9,22,1.1
set10,84,4.2
set11,114,5.7
set12,75,3.75
set13,52,2.6
set14,45,2.25
set15,37,1.85
set16,64,3.2
set17,51,2.55
set18,81,4.05
set19,15,0.75
set20,31,1.55
set21,52,2.6
set22,164,8.2
set23,38,1.9
set24,33,1.65
set25,31,1.55
set26,99,4.95
set27,101,5.05
set28,44,2.2
set29,114,5.7
set30,67,3.35
set31,47,2.35
set32,46,2.3
set33,66,3.3
set34,29,1.45
set35,44,2.2
set36,17,0.85
set37,14,0.7
set38,41,2.05
set39,36,1.8
set40,36,1.8
set41,120,6
set42,68,3.4
set43,63,3.15
set44,46,2.3
set45,45,2.25
set46,13,0.65
set47,52,2.6
set48,68,3.4
set49,76,3.8
set50,83,4.15
set51,16,0.8
set52,33,1.65
set53,16,0.8
set54,31,1.55
set55,64,3.2
set56,43,2.15
set57,26,1.3
set58,31,1.55
set59,54,2.7
set60,35,1.75
set61,37,1.85
set62,44,2.2
set63,51,2.55
set64,99,4.95
set65,117,5.85
set66,52,2.6
set67,39,1.95
set68,27,1.35
set69,21,1.05
set70,56,2.8
set71,44,2.2
set72,42,2.1
set73,29,1.45
set74,51,2.55
set75,93,4.65
set76,26,1.3
set77,12,0.6
set78,39,1.95
set79,41,2.05
set80,64,3.2
set81,56,2.8
set82,25,1.25
set83,64,3.2
set84,44,2.2
set85,47,2.35
set86,29,1.45
set87,63,3.15
set88,48,2.4
set89,30,1.5
set90,81,4.05
set91,33,1.65
set92,23,1.15
set93,14,0.7
set94,13,0.65
set95,48,2.4
set96,44,2.2
set97,30,1.5
set98,54,2.7
set99,33,1.65
set100,16,0.8
average,49.38,2.469
