,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,3,0,0,0,0,2,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,1,0,0,0,0,2,3,2,1,0,0,1,0,0,0,0,0,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,4,2,0,0,0,0,2,1,3,0,0,0,0,0,0.6
0.05,3,2,4,7,4,5,2,4,5,2,5,4,4,5,4,6,5,3,5,7,4,4,3,5,3,7,3,6,5,4,4,4,5,4,7,2,4,3,5,3,3,4,4,3,9,5,9,4,2,11,4,5,6,6,7,6,9,7,5,5,4,3,6,5,5,2,3,5,5,2,5,7,6,7,3,6,4,4,3,5,3,5,6,2,6,3,5,6,5,4,3,4,5,8,5,3,5,2,3,3,4.61
0.1,5,2,6,9,6,5,3,6,8,4,5,3,5,8,5,7,5,4,8,7,6,4,3,7,4,7,5,8,7,2,6,4,4,4,11,1,4,2,4,4,5,3,3,3,11,4,8,6,3,13,4,9,5,6,5,7,9,8,5,13,5,7,10,8,5,4,3,7,4,1,6,7,5,5,5,3,4,4,4,5,2,4,6,2,7,4,5,4,4,4,4,3,7,9,6,5,6,1,3,6,5.32
0.15,10,2,8,4,8,8,7,5,13,7,4,5,6,9,3,9,5,7,10,4,12,5,8,7,4,9,4,10,6,4,5,3,4,7,10,3,5,4,4,5,9,1,4,3,12,4,8,5,6,16,4,9,7,5,8,9,10,8,4,13,7,9,13,5,8,4,4,6,5,3,6,7,5,4,9,6,5,4,5,4,2,5,8,3,7,5,7,5,3,5,3,3,9,9,5,6,8,3,5,5,6.23
0.2,11,4,7,5,8,9,8,10,14,7,9,5,9,12,4,11,10,9,14,6,13,6,9,8,8,9,6,9,4,5,9,5,7,9,12,4,5,9,6,11,12,4,8,5,12,7,13,6,8,12,7,8,8,8,11,9,9,8,9,10,8,9,10,7,9,7,10,9,6,5,7,10,8,9,11,7,11,6,7,7,4,8,8,9,10,4,7,4,5,12,4,4,8,14,6,5,13,7,6,9,8.1
0.25,16,7,7,6,11,9,9,10,10,5,8,3,6,11,4,9,12,6,13,7,11,4,9,8,8,12,8,4,8,4,10,7,4,8,9,4,4,10,5,10,11,4,6,5,10,6,9,4,7,13,5,8,7,6,10,6,7,9,11,7,8,10,8,6,9,8,11,8,6,5,9,12,5,9,11,6,9,5,7,7,6,8,6,8,10,5,6,4,4,11,4,3,8,10,8,4,14,8,9,10,7.72
0.3,23,7,9,4,12,8,7,13,9,6,5,3,4,9,2,10,14,7,10,9,11,5,8,6,5,9,8,5,7,3,7,6,6,10,7,3,6,3,7,6,13,3,6,5,14,6,10,4,8,15,6,8,12,4,9,7,6,9,10,10,10,9,8,7,10,10,7,7,8,6,11,12,6,9,8,4,11,6,5,6,5,7,10,7,6,8,7,5,5,10,3,4,10,9,6,5,11,11,6,11,7.7
0.35,22,7,9,5,9,8,11,13,11,9,5,8,5,14,4,11,16,6,8,13,13,5,6,7,8,11,10,10,7,3,6,8,6,14,8,6,7,4,10,6,17,4,8,6,14,9,9,7,10,15,7,5,14,7,10,12,9,8,8,8,12,13,8,10,16,14,5,8,10,6,11,11,9,11,10,6,9,9,4,12,8,6,15,7,11,9,7,5,6,9,6,5,8,9,7,8,13,10,7,17,9.03
0.4,19,9,9,5,5,9,11,12,14,10,7,12,3,15,8,8,14,9,10,11,17,4,8,9,11,12,12,16,5,5,8,13,10,11,12,9,9,8,11,7,12,8,6,7,12,7,9,10,13,16,9,7,17,12,10,13,6,14,8,13,14,11,11,12,13,16,8,13,11,6,19,10,7,11,12,6,5,9,11,9,6,5,13,7,11,8,8,3,5,5,7,6,10,8,5,10,16,11,9,15,9.88
0.45,21,8,15,10,6,12,15,12,18,12,8,16,9,14,12,10,12,7,15,10,12,4,9,8,14,16,12,13,5,5,7,14,13,12,11,7,8,10,10,7,11,11,7,4,18,5,11,13,12,15,8,7,10,13,11,15,8,13,14,10,14,9,9,15,14,15,10,10,9,7,18,9,11,10,15,6,4,8,16,13,7,8,16,9,13,8,12,3,5,6,8,6,8,8,6,9,12,10,12,9,10.52
0.5,19,9,15,9,5,7,7,10,19,7,8,17,12,18,11,12,13,10,16,11,9,5,17,8,12,15,13,10,5,6,10,14,10,15,11,8,9,14,14,13,11,13,7,5,17,7,13,17,11,14,8,10,7,15,10,12,14,12,15,7,16,11,9,15,15,14,13,11,10,10,15,10,11,11,14,5,5,15,10,14,7,7,20,12,14,6,13,5,7,7,10,3,9,8,6,10,10,10,16,10,11.02
0.55,16,8,15,11,5,9,7,14,20,7,9,15,9,14,10,14,19,8,13,7,10,6,14,6,15,12,13,11,6,4,8,8,12,11,16,11,5,14,13,14,11,11,6,5,14,7,11,14,7,15,5,6,10,10,11,13,15,16,15,8,13,15,11,16,16,11,12,11,10,8,15,13,7,11,15,5,13,8,8,14,7,6,17,13,16,7,12,7,7,8,5,3,11,7,6,7,9,9,18,10,10.66
0.6,18,6,13,13,4,12,8,12,17,8,8,12,10,17,12,17,19,7,14,9,15,10,15,11,14,15,16,11,7,5,11,7,11,13,16,18,10,14,15,11,13,7,5,11,12,12,12,11,8,16,3,8,9,11,16,12,11,19,16,12,10,13,11,17,20,16,16,15,11,9,15,10,7,11,14,10,17,7,8,15,6,5,17,11,16,12,10,5,9,9,3,4,12,7,5,6,13,11,14,15,11.47
