,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,15,4,4,11,4,5,4,4,4,4,4,4,4,4,4,7,4,4,4,28,4,4,4,19,4,4,4,4,11,4,15,4,11,4,18,4,9,4,4,4,4,4,4,4,16,4,18,4,4,28,5,10,8,4,4,4,22,8,14,11,4,4,15,4,4,4,4,4,7,4,20,4,4,13,4,7,4,4,4,4,4,4,4,4,9,12,13,11,4,4,4,11,9,13,20,4,4,4,4,4,7.13
0.1,23,13,19,29,14,17,13,13,16,13,21,18,17,22,12,26,18,19,20,24,15,18,15,12,13,28,13,22,20,15,18,13,22,14,19,9,23,15,13,12,9,15,11,12,28,14,25,13,9,33,15,17,31,18,17,12,34,25,20,34,18,15,23,19,13,13,9,13,19,9,29,20,19,17,14,14,13,15,10,14,9,21,24,9,21,16,24,16,18,17,12,15,25,26,16,10,19,13,13,13,17.41
0.15,28,20,29,45,31,33,21,25,28,27,25,27,21,24,17,28,25,27,28,41,43,28,28,37,23,28,23,25,28,17,30,15,26,24,37,18,39,15,13,13,23,17,27,14,45,23,29,27,23,57,32,36,35,24,19,26,40,34,25,37,26,25,49,40,20,26,17,24,35,15,60,26,15,23,23,23,32,20,20,23,14,17,22,13,38,34,47,29,16,21,19,25,24,38,36,20,27,16,32,27,27.1
0.2,41,39,29,43,43,39,27,26,49,39,36,41,32,36,27,44,36,54,37,41,40,62,50,25,27,53,40,42,37,53,37,31,38,33,46,30,35,19,25,23,40,21,38,26,47,27,48,28,33,57,28,37,49,39,32,39,47,40,39,53,44,35,50,37,37,39,28,27,39,35,46,44,29,34,39,35,33,29,37,27,35,33,44,29,43,37,50,30,30,36,26,37,34,47,42,40,37,25,44,39,37.35
0.25,49,40,48,52,41,48,49,41,47,55,39,46,37,46,32,45,44,47,43,59,56,48,41,40,47,48,49,51,41,55,45,31,51,40,50,34,51,28,29,45,43,31,40,35,65,37,56,35,47,63,50,39,53,52,42,55,44,46,48,58,39,56,58,54,33,52,37,40,45,40,60,34,32,40,44,37,44,40,52,35,30,32,40,39,54,54,51,49,40,40,31,47,34,47,35,45,46,43,48,54,44.58
0.3,33,58,54,8,57,5,48,50,52,51,54,57,47,54,40,27,49,61,57,9,68,63,49,25,52,54,58,55,15,58,8,44,10,49,5,39,8,54,47,54,49,38,51,42,8,51,33,45,51,14,5,8,16,58,59,59,5,8,15,13,44,51,9,58,45,53,43,44,5,53,5,69,49,5,51,11,42,53,51,59,48,46,50,37,8,10,8,22,49,53,45,9,8,27,9,49,54,53,58,57,38.14
0.35,53,16,12,23,10,13,10,19,18,12,21,10,10,32,10,25,17,11,10,29,16,10,10,31,39,12,18,18,13,10,17,10,27,18,16,18,23,10,29,21,10,10,10,13,22,16,29,10,10,35,10,9,26,10,10,21,6,18,22,17,23,30,28,25,10,12,10,10,14,10,27,10,21,11,10,29,23,20,15,21,13,11,16,12,17,26,25,28,16,10,10,21,20,26,11,12,21,39,11,46,17.91
0.4,32,18,30,28,22,22,32,23,33,28,18,30,23,25,29,25,24,33,41,23,25,25,31,26,41,45,27,25,20,20,25,30,31,29,26,43,43,28,43,33,33,29,35,23,30,35,45,29,27,40,13,11,33,30,22,30,17,30,26,19,23,14,33,29,39,31,25,32,20,26,35,22,22,16,33,29,27,45,24,21,26,16,45,25,24,35,24,32,31,12,26,22,24,28,24,32,42,48,22,31,28.27
0.45,47,32,33,39,30,35,43,38,44,30,32,46,30,46,43,6,39,33,41,37,35,27,45,50,43,43,29,53,30,28,32,44,31,51,28,39,36,42,61,50,45,37,46,36,42,46,8,42,41,42,18,27,37,34,27,35,23,41,35,28,30,31,44,36,33,48,26,43,24,31,39,43,33,19,44,40,18,27,30,43,25,30,28,25,33,58,37,5,29,19,27,28,45,10,25,29,40,27,31,44,34.88
