,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,24,18,18,4,4,4,4,4,4,4,27,13,4,4,15,14,4,4,11,12,4,8,4,19,12,4,4,4,4,4,4,4,4,4,4,10,4,4,13,4,11,8,12,4,4,4,4,4,4,4,11,4,12,4,4,4,4,14,4,4,15,4,4,4,4,4,4,22,4,4,4,4,14,4,4,4,8,4,4,4,4,14,4,4,4,4,12,4,11,4,4,4,4,4,4,4,18,4,4,4,6.84
0.1,30,37,40,16,24,16,23,18,10,18,55,28,9,16,52,30,16,15,15,20,21,25,24,38,22,16,13,11,24,11,29,14,27,13,9,31,9,21,43,11,43,45,22,23,30,11,16,35,11,20,32,16,31,25,16,11,10,28,20,9,51,21,11,25,18,15,14,22,14,18,19,21,29,14,17,34,22,13,21,11,17,23,25,13,18,16,18,17,15,21,34,11,42,23,13,40,32,16,15,11,21.84
0.15,52,56,42,31,23,24,33,37,27,40,63,39,26,41,45,46,41,47,39,32,33,57,34,60,36,31,31,29,36,19,26,45,36,25,13,47,36,32,58,31,51,41,44,41,37,27,23,31,28,44,39,22,61,49,31,29,24,39,40,14,58,21,27,45,33,29,24,59,26,33,36,33,39,34,30,41,37,20,43,35,37,56,33,34,34,28,36,31,35,43,31,31,56,33,35,47,38,30,27,46,36.58
0.2,54,57,53,37,43,43,62,48,38,57,60,64,36,43,57,44,55,55,46,37,59,42,48,54,42,46,46,41,57,48,50,59,63,50,41,50,48,59,56,48,53,51,47,53,53,49,41,66,44,58,47,33,56,53,58,48,53,46,59,28,59,33,43,59,52,46,34,55,40,50,57,61,42,51,48,67,42,30,53,46,44,42,44,52,56,54,33,45,50,58,60,36,60,52,38,58,49,30,46,57,49.24
0.25,61,75,64,46,61,52,57,54,41,55,67,52,42,60,62,44,53,72,53,45,57,54,52,53,51,36,43,48,57,43,65,49,61,59,45,48,49,60,61,58,58,68,42,56,60,48,47,62,47,52,58,43,57,52,48,47,54,53,65,40,69,42,50,47,60,47,40,52,41,52,53,52,44,59,54,58,53,40,55,48,58,52,70,57,54,53,43,49,48,61,52,55,65,57,52,68,51,45,38,60,53.26
0.3,23,20,16,39,58,52,78,61,47,56,16,28,47,59,14,17,66,66,8,8,67,8,64,20,8,44,53,53,67,49,53,55,61,60,48,8,52,59,14,60,8,12,14,52,62,55,66,71,50,68,8,56,20,61,52,50,53,8,67,39,12,58,62,65,62,52,54,8,54,57,60,72,23,62,56,62,8,47,66,68,64,16,65,59,63,62,5,63,9,54,59,50,70,64,50,62,8,60,60,66,45.71
0.35,35,32,30,10,15,10,22,10,10,12,53,39,10,15,36,21,10,23,30,31,10,32,16,30,33,10,15,10,15,17,32,17,24,15,24,23,10,30,37,10,28,31,15,10,15,10,10,12,10,15,28,16,30,10,18,13,14,24,10,10,30,10,10,10,21,10,10,30,10,10,10,10,23,10,10,12,18,10,10,10,16,40,14,10,12,30,23,10,42,29,10,13,19,12,16,10,26,10,10,24,18.43
0.4,35,42,39,38,45,38,34,26,25,39,57,35,21,53,47,26,42,38,36,34,29,34,28,45,28,21,38,30,12,30,42,30,38,39,20,26,32,33,67,29,44,55,27,18,21,30,34,51,33,37,37,35,55,19,35,44,22,25,27,21,36,22,31,34,23,32,28,33,32,37,34,44,58,28,30,52,30,39,40,32,29,51,38,36,33,30,18,41,40,45,34,23,34,22,28,14,46,39,34,21,34.22
0.45,56,62,32,54,47,59,66,36,48,51,54,47,37,64,75,5,48,55,58,61,41,58,41,45,56,30,64,41,26,51,43,50,68,40,27,51,60,32,68,53,43,73,33,39,45,49,72,60,40,40,48,48,47,46,57,62,46,54,45,43,60,34,42,63,50,39,40,62,52,83,42,42,63,37,39,42,45,76,45,41,42,64,58,46,47,56,36,39,66,50,41,40,60,43,47,33,50,58,57,37,49.17
0.5,63,62,41,66,61,61,67,48,60,74,77,52,47,74,66,24,63,67,61,58,58,59,51,61,57,63,61,59,52,52,63,61,63,73,57,59,72,43,65,62,52,61,43,62,35,63,60,74,58,50,63,60,60,67,71,60,70,54,56,54,68,51,59,81,50,71,77,50,68,64,61,67,58,65,71,87,52,63,64,78,68,64,66,75,74,68,35,69,65,59,51,59,53,51,61,61,40,59,63,55,60.57
0.55,69,53,51,74,72,90,90,48,70,66,55,34,51,82,70,24,62,73,66,63,60,67,47,43,62,57,68,64,74,61,70,68,75,57,70,63,71,54,57,64,62,65,5,61,42,61,73,68,59,51,64,53,73,63,74,61,65,66,62,67,76,69,59,57,59,59,78,64,69,71,60,66,35,63,61,55,66,69,66,76,54,67,76,73,64,72,51,64,56,71,58,64,67,74,55,53,63,67,70,62,62.69
