,time slot,timepoint (sec)
set1,70,3.5
set2,70,3.5
set3,75,3.75
set4,72,3.6
set5,72,3.6
set6,72,3.6
set7,72,3.6
set8,70,3.5
set9,67,3.35
set10,67,3.35
set11,75,3.75
set12,70,3.5
set13,72,3.6
set14,72,3.6
set15,75,3.75
set16,72,3.6
set17,72,3.6
set18,70,3.5
set19,72,3.6
set20,75,3.75
set21,72,3.6
set22,72,3.6
set23,75,3.75
set24,67,3.35
set25,70,3.5
set26,70,3.5
set27,75,3.75
set28,72,3.6
set29,72,3.6
set30,70,3.5
set31,72,3.6
set32,72,3.6
set33,72,3.6
set34,75,3.75
set35,72,3.6
set36,75,3.75
set37,70,3.5
set38,70,3.5
set39,70,3.5
set40,72,3.6
set41,65,3.25
set42,67,3.35
set43,70,3.5
set44,72,3.6
set45,72,3.6
set46,72,3.6
set47,72,3.6
set48,72,3.6
set49,70,3.5
set50,70,3.5
set51,70,3.5
set52,75,3.75
set53,72,3.6
set54,72,3.6
set55,72,3.6
set56,70,3.5
set57,70,3.5
set58,70,3.5
set59,72,3.6
set60,72,3.6
set61,72,3.6
set62,70,3.5
set63,67,3.35
set64,72,3.6
set65,72,3.6
set66,70,3.5
set67,72,3.6
set68,72,3.6
set69,72,3.6
set70,70,3.5
set71,70,3.5
set72,72,3.6
set73,75,3.75
set74,72,3.6
set75,72,3.6
set76,67,3.35
set77,75,3.75
set78,70,3.5
set79,72,3.6
set80,70,3.5
set81,72,3.6
set82,75,3.75
set83,72,3.6
set84,72,3.6
set85,70,3.5
set86,72,3.6
set87,70,3.5
set88,72,3.6
set89,75,3.75
set90,72,3.6
set91,72,3.6
set92,72,3.6
set93,72,3.6
set94,75,3.75
set95,70,3.5
set96,70,3.5
set97,75,3.75
set98,70,3.5
set99,70,3.5
set100,72,3.6
average,71.48,3.574
