,time slot,timepoint (sec)
set1,34,1.7
set2,12,0.6
set3,14,0.7
set4,89,4.45
set5,13,0.65
set6,37,1.85
set7,23,1.15
set8,10,0.5
set9,26,1.3
set10,9,0.45
set11,17,0.85
set12,19,0.95
set13,17,0.85
set14,6,0.3
set15,12,0.6
set16,16,0.8
set17,13,0.65
set18,14,0.7
set19,35,1.75
set20,14,0.7
set21,8,0.4
set22,9,0.45
set23,36,1.8
set24,22,1.1
set25,26,1.3
set26,22,1.1
set27,16,0.8
set28,12,0.6
set29,11,0.55
set30,19,0.95
set31,25,1.25
set32,12,0.6
set33,8,0.4
set34,12,0.6
set35,7,0.35
set36,11,0.55
set37,22,1.1
set38,15,0.75
set39,10,0.5
set40,15,0.75
set41,19,0.95
set42,15,0.75
set43,25,1.25
set44,20,1
set45,7,0.35
set46,71,3.55
set47,18,0.9
set48,8,0.4
set49,11,0.55
set50,11,0.55
set51,25,1.25
set52,33,1.65
set53,9,0.45
set54,11,0.55
set55,15,0.75
set56,17,0.85
set57,11,0.55
set58,15,0.75
set59,10,0.5
set60,19,0.95
set61,10,0.5
set62,20,1
set63,19,0.95
set64,24,1.2
set65,20,1
set66,11,0.55
set67,9,0.45
set68,12,0.6
set69,82,4.1
set70,8,0.4
set71,42,2.1
set72,37,1.85
set73,6,0.3
set74,9,0.45
set75,20,1
set76,31,1.55
set77,12,0.6
set78,9,0.45
set79,13,0.65
set80,11,0.55
set81,11,0.55
set82,15,0.75
set83,33,1.65
set84,17,0.85
set85,13,0.65
set86,12,0.6
set87,24,1.2
set88,2,0.1
set89,6,0.3
set90,32,1.6
set91,25,1.25
set92,9,0.45
set93,24,1.2
set94,6,0.3
set95,12,0.6
set96,15,0.75
set97,15,0.75
set98,24,1.2
set99,9,0.45
set100,25,1.25
average,18.52,0.926
