,time slot,timepoint (sec)
set1,77,3.85
set2,77,3.85
set3,80,4
set4,80,4
set5,80,4
set6,82,4.1
set7,77,3.85
set8,82,4.1
set9,80,4
set10,80,4
set11,77,3.85
set12,80,4
set13,77,3.85
set14,80,4
set15,82,4.1
set16,80,4
set17,82,4.1
set18,80,4
set19,75,3.75
set20,80,4
set21,80,4
set22,80,4
set23,82,4.1
set24,80,4
set25,75,3.75
set26,80,4
set27,82,4.1
set28,82,4.1
set29,80,4
set30,77,3.85
set31,80,4
set32,77,3.85
set33,77,3.85
set34,80,4
set35,75,3.75
set36,80,4
set37,82,4.1
set38,77,3.85
set39,80,4
set40,82,4.1
set41,77,3.85
set42,80,4
set43,82,4.1
set44,82,4.1
set45,77,3.85
set46,80,4
set47,75,3.75
set48,82,4.1
set49,77,3.85
set50,77,3.85
set51,82,4.1
set52,80,4
set53,80,4
set54,80,4
set55,77,3.85
set56,80,4
set57,80,4
set58,82,4.1
set59,77,3.85
set60,80,4
set61,77,3.85
set62,80,4
set63,77,3.85
set64,82,4.1
set65,80,4
set66,80,4
set67,80,4
set68,77,3.85
set69,82,4.1
set70,80,4
set71,82,4.1
set72,82,4.1
set73,80,4
set74,82,4.1
set75,77,3.85
set76,80,4
set77,80,4
set78,80,4
set79,80,4
set80,82,4.1
set81,77,3.85
set82,80,4
set83,80,4
set84,80,4
set85,80,4
set86,80,4
set87,77,3.85
set88,80,4
set89,80,4
set90,80,4
set91,80,4
set92,80,4
set93,80,4
set94,80,4
set95,77,3.85
set96,77,3.85
set97,80,4
set98,77,3.85
set99,80,4
set100,82,4.1
average,79.5,3.975
