,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,23,19,4,4,4,4,19,4,26,4,10,15,13,4,4,4,4,24,4,4,4,4,4,4,4,11,4,4,4,4,4,4,21,4,4,13,4,4,8,4,4,15,29,4,4,18,19,4,24,4,4,4,4,4,10,4,10,11,24,15,4,16,4,18,4,4,4,9,4,4,12,21,4,9,4,8,20,4,4,21,20,4,4,4,4,14,4,4,4,4,4,4,19,4,4,4,22,12,4,4,8.54
0.1,34,45,18,13,19,16,53,25,54,27,24,22,46,30,22,26,21,48,26,23,27,13,24,13,36,25,26,40,20,13,10,14,40,34,13,23,10,26,24,17,27,56,50,23,17,37,35,17,57,10,30,13,48,14,24,13,36,23,50,25,24,24,10,47,24,27,10,41,15,22,49,51,11,33,28,37,46,26,22,44,44,10,20,25,15,25,33,17,18,19,25,21,46,18,18,13,43,53,24,16,27.39
0.15,65,63,50,40,34,31,59,41,64,34,54,52,63,56,48,47,43,70,45,51,38,22,31,36,49,40,61,52,42,30,25,19,59,53,34,44,25,50,42,44,45,61,74,46,36,70,45,47,66,37,30,41,39,23,48,41,56,42,65,45,60,57,32,58,38,35,47,60,25,43,54,51,26,57,43,48,44,44,56,69,56,48,51,37,30,47,37,36,37,27,44,51,49,33,40,37,50,66,58,30,45.74
0.2,70,50,75,48,46,53,53,46,64,62,61,49,57,58,64,62,59,60,77,62,73,33,74,49,81,47,59,83,56,47,48,31,60,77,52,53,42,57,54,65,50,74,63,67,54,53,55,75,52,62,67,44,68,58,41,57,54,44,69,54,64,55,50,51,79,46,55,51,43,61,52,60,57,48,47,58,55,69,68,54,65,58,55,64,49,60,58,62,75,48,70,58,49,67,59,61,62,62,67,53,58.03
0.25,72,57,49,52,56,49,67,61,71,61,53,58,65,63,61,56,60,59,53,68,71,44,58,53,59,45,62,51,70,63,47,44,68,77,59,53,50,52,53,58,62,63,62,60,53,69,52,64,70,55,70,50,66,61,50,63,55,52,56,45,68,60,55,64,60,52,50,59,55,60,46,65,60,64,61,51,58,52,67,59,64,42,57,72,48,50,65,64,58,54,68,56,57,63,64,53,60,62,58,47,58.34
0.3,19,5,66,59,60,50,6,54,5,64,22,8,8,62,67,58,61,10,79,73,72,51,70,64,68,8,69,89,71,50,61,50,8,84,59,9,44,68,12,62,59,8,5,62,70,8,8,60,8,57,67,57,75,54,8,66,5,8,8,8,67,16,58,36,61,53,52,8,48,70,8,5,59,8,61,8,12,71,66,8,8,62,67,65,57,22,61,69,62,55,64,62,5,64,60,62,5,8,63,58,43.6
0.35,41,16,18,10,14,10,10,10,20,10,26,39,27,10,10,10,21,23,15,10,10,19,10,10,10,25,10,10,11,16,13,10,31,11,18,31,10,10,40,10,10,33,37,10,12,32,22,10,17,13,16,10,10,22,27,12,17,20,36,25,17,28,22,52,10,10,10,21,15,25,25,39,26,20,10,22,37,10,25,33,31,47,10,11,14,39,16,46,10,10,14,10,14,11,10,19,21,32,10,10,18.98
0.4,52,26,26,34,56,26,22,32,20,34,52,57,43,48,28,34,40,48,33,38,38,47,35,39,37,44,20,53,36,28,40,42,44,43,24,33,36,20,31,27,34,48,30,51,39,35,42,27,33,32,60,33,36,23,18,31,17,37,48,34,41,61,27,47,36,35,22,32,29,49,67,39,23,21,40,41,50,35,47,45,40,17,29,39,39,37,40,33,23,38,44,32,25,23,38,24,38,31,45,41,36.37
0.45,58,36,43,53,59,37,24,46,49,44,67,80,54,65,49,54,74,60,32,43,50,53,45,55,58,63,36,55,58,67,47,63,45,59,66,71,42,44,61,46,47,84,43,53,54,66,65,50,62,42,70,65,43,34,32,55,35,71,67,62,54,68,60,32,60,38,42,41,52,88,67,69,60,39,63,54,36,36,65,63,61,30,40,54,46,46,55,55,39,45,57,44,46,38,55,37,40,54,65,62,52.67
0.5,77,36,52,80,76,60,5,63,51,58,55,57,62,82,69,58,65,75,34,80,64,76,74,78,80,74,63,64,83,67,67,77,61,70,67,55,67,70,61,70,55,71,61,96,85,55,72,90,62,67,70,80,71,57,32,74,38,66,58,56,73,60,81,7,82,61,78,58,59,65,73,69,83,49,80,57,63,57,53,63,67,62,66,74,70,61,94,79,79,66,58,71,49,44,78,75,55,57,84,88,65.47
0.55,66,55,70,66,62,56,24,65,59,76,34,72,59,72,61,65,68,53,48,70,64,59,65,76,66,69,63,88,76,69,67,73,68,73,72,56,70,65,64,64,54,72,49,66,62,55,61,63,57,70,78,70,61,63,39,70,53,76,63,67,67,68,74,21,69,58,65,57,69,78,63,67,79,62,63,60,62,52,59,64,64,61,49,62,77,51,74,83,57,64,67,67,50,68,76,67,53,60,73,63,63.6
0.6,49,10,25,71,32,64,20,66,15,78,8,8,53,78,73,63,29,28,47,73,75,22,84,86,76,26,64,77,87,52,79,87,15,81,35,36,66,66,11,82,68,8,5,99,83,8,20,81,9,75,40,75,76,67,5,83,6,72,23,47,55,9,81,40,80,62,64,27,44,43,22,5,82,8,73,8,13,78,14,22,11,66,76,64,88,56,85,103,69,71,37,75,5,72,93,71,34,8,68,76,51.05
0.65,60,8,59,19,43,26,41,43,40,31,41,44,33,15,23,14,37,22,25,15,39,39,32,25,14,41,37,30,34,46,31,31,32,17,46,31,21,30,55,25,21,32,39,25,36,37,20,19,23,20,70,24,30,34,19,42,16,13,19,11,42,36,37,57,23,28,38,25,46,53,16,36,23,10,31,29,28,17,40,31,22,33,30,31,40,29,25,64,73,21,50,35,32,31,36,30,20,35,19,29,31.76
0.7,59,33,75,42,48,46,35,44,38,43,31,34,33,52,58,45,58,35,43,56,42,49,59,44,32,46,42,48,60,54,53,57,40,43,50,46,46,45,54,61,41,41,45,71,59,34,35,55,26,40,67,48,42,55,38,71,27,29,17,46,68,46,48,57,47,45,40,39,50,69,40,33,26,23,40,36,33,42,28,53,27,39,42,52,57,11,48,87,41,49,50,35,55,51,47,59,26,52,45,55,45.57
0.75,27,31,79,57,65,47,48,61,51,45,53,58,70,62,68,51,75,65,65,62,50,68,53,51,52,63,45,42,70,55,58,63,19,59,66,73,62,67,81,70,61,87,54,75,61,69,51,55,49,51,63,54,37,45,50,75,45,26,36,36,75,69,48,23,55,52,59,63,57,67,54,78,36,28,52,78,56,50,47,43,50,47,69,57,55,35,51,81,45,55,48,56,68,70,65,59,29,50,51,59,55.77
0.8,51,70,61,66,57,25,5,29,47,17,50,62,59,69,64,59,33,51,57,83,25,58,62,51,59,66,23,31,78,21,72,67,45,64,34,72,72,78,72,66,67,67,51,63,70,50,57,68,57,65,22,60,33,57,56,68,12,33,48,60,70,62,14,34,71,60,22,56,21,29,56,55,14,53,53,69,81,66,39,50,47,65,61,45,19,37,78,68,55,77,35,20,63,72,66,86,44,93,58,70,53.29
0.85,48,37,13,67,19,47,32,41,54,31,70,63,36,65,33,61,55,62,68,68,43,13,13,23,63,63,40,32,35,55,27,17,35,80,69,66,65,29,69,25,23,63,62,19,28,60,56,43,53,31,58,19,46,24,60,36,43,31,62,50,50,67,38,29,39,29,46,59,43,63,42,67,45,55,17,75,64,62,48,39,66,13,22,31,46,58,69,24,15,69,65,38,61,26,18,40,46,74,26,32,45.15
0.9,73,47,37,30,21,59,41,35,11,52,20,11,44,27,50,29,27,10,22,33,52,34,38,49,71,8,36,29,58,66,59,55,24,74,26,28,33,52,17,47,47,8,5,64,52,8,22,62,11,71,54,40,66,46,44,38,43,53,27,57,28,27,48,50,53,27,34,8,44,58,61,33,68,21,43,24,30,36,14,58,18,46,35,48,49,56,46,44,29,29,32,50,20,29,44,60,5,44,41,51,38.94
0.95,68,11,80,34,61,53,51,53,37,60,49,37,30,28,24,19,49,36,32,23,50,41,62,49,13,39,46,54,37,42,43,55,50,40,52,49,21,28,34,33,38,41,47,55,36,61,23,29,40,49,84,48,50,31,10,51,57,41,60,12,44,39,76,62,23,47,46,20,57,75,53,36,80,53,46,65,27,53,29,17,41,53,45,72,49,75,48,68,44,17,51,42,39,48,52,23,17,24,25,35,43.52
1,71,39,90,45,63,64,58,49,61,70,54,46,8,48,51,40,72,59,79,50,78,58,58,57,42,50,72,45,45,58,56,68,50,41,51,32,51,45,45,61,50,45,69,53,58,36,40,32,45,58,81,66,55,70,24,64,26,67,53,30,50,72,73,75,45,62,62,29,53,76,23,44,81,73,52,24,34,38,54,50,57,70,62,32,50,40,65,115,65,61,53,50,39,70,72,47,35,57,53,46,54.11
1.05,25,53,79,51,56,13,51,68,92,75,74,50,25,62,49,54,73,90,58,51,61,53,77,55,68,49,63,62,48,54,62,76,46,51,76,48,45,58,68,64,56,80,62,63,50,72,34,51,78,64,79,63,70,61,49,71,18,18,8,48,54,53,67,14,60,68,63,64,19,73,43,5,77,46,66,44,50,61,78,44,49,63,58,45,59,40,69,92,66,51,67,53,57,73,66,50,44,69,50,53,56.51
1.1,24,59,71,65,63,46,5,27,67,18,38,51,69,58,54,72,58,68,59,71,27,58,61,74,71,72,22,21,29,13,71,71,53,71,31,52,64,71,59,67,66,67,74,67,66,64,55,52,88,64,14,68,18,61,47,66,29,48,22,60,28,74,14,24,61,71,25,66,15,13,39,37,22,48,69,57,62,51,66,51,20,74,69,57,18,12,64,96,61,74,14,13,68,65,69,56,47,60,60,53,51.4
1.15,64,68,16,66,13,51,23,45,65,35,48,50,68,56,40,64,68,84,78,60,69,13,13,13,80,76,41,38,42,36,30,13,42,70,49,42,58,33,60,25,16,70,63,14,42,60,27,35,71,30,44,13,35,18,66,20,56,37,43,63,73,52,54,30,30,19,33,66,51,32,62,30,51,75,14,62,43,70,73,38,60,18,13,16,24,18,19,28,13,61,35,38,38,14,17,27,56,24,36,20,42.61
1.2,57,68,49,13,37,81,53,43,7,68,10,8,71,13,19,37,17,43,13,37,63,57,34,22,70,10,49,38,62,80,44,32,8,87,41,9,13,53,8,38,40,11,25,37,58,8,45,49,40,66,61,42,64,46,73,22,66,48,54,67,79,16,58,50,47,35,35,49,47,58,62,50,87,41,35,26,59,18,13,42,28,45,36,41,54,38,35,41,38,22,48,42,57,26,38,39,5,66,48,34,41.72
1.25,65,8,79,38,76,58,59,48,37,75,44,37,68,18,30,41,46,9,24,24,78,52,58,69,13,17,42,51,69,64,16,54,36,50,70,28,26,21,34,47,62,25,9,41,42,24,52,75,8,74,84,66,49,42,26,27,94,56,56,20,72,32,89,54,20,92,57,8,57,58,54,55,78,49,76,55,46,36,24,8,60,57,43,62,52,67,68,69,62,26,81,80,16,60,35,29,15,48,27,50,47.38
