,time slot,timepoint (sec)
set1,12,0.6
set2,10,0.5
set3,9,0.45
set4,14,0.7
set5,14,0.7
set6,8,0.4
set7,26,1.3
set8,31,1.55
set9,8,0.4
set10,8,0.4
set11,11,0.55
set12,12,0.6
set13,9,0.45
set14,8,0.4
set15,19,0.95
set16,20,1
set17,6,0.3
set18,5,0.25
set19,23,1.15
set20,13,0.65
set21,8,0.4
set22,17,0.85
set23,9,0.45
set24,5,0.25
set25,15,0.75
set26,17,0.85
set27,6,0.3
set28,22,1.1
set29,31,1.55
set30,33,1.65
set31,25,1.25
set32,16,0.8
set33,18,0.9
set34,15,0.75
set35,17,0.85
set36,11,0.55
set37,24,1.2
set38,28,1.4
set39,21,1.05
set40,6,0.3
set41,15,0.75
set42,15,0.75
set43,18,0.9
set44,23,1.15
set45,15,0.75
set46,8,0.4
set47,10,0.5
set48,12,0.6
set49,8,0.4
set50,6,0.3
set51,8,0.4
set52,5,0.25
set53,6,0.3
set54,12,0.6
set55,23,1.15
set56,9,0.45
set57,10,0.5
set58,15,0.75
set59,14,0.7
set60,14,0.7
set61,3,0.15
set62,19,0.95
set63,8,0.4
set64,9,0.45
set65,8,0.4
set66,18,0.9
set67,15,0.75
set68,18,0.9
set69,10,0.5
set70,21,1.05
set71,3,0.15
set72,18,0.9
set73,30,1.5
set74,15,0.75
set75,5,0.25
set76,10,0.5
set77,19,0.95
set78,20,1
set79,8,0.4
set80,21,1.05
set81,6,0.3
set82,36,1.8
set83,7,0.35
set84,9,0.45
set85,11,0.55
set86,29,1.45
set87,11,0.55
set88,13,0.65
set89,12,0.6
set90,12,0.6
set91,28,1.4
set92,8,0.4
set93,13,0.65
set94,17,0.85
set95,18,0.9
set96,24,1.2
set97,19,0.95
set98,9,0.45
set99,21,1.05
set100,5,0.25
average,14.42,0.721
