,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average,
2.95,12,7,15,12,15,9,11,18,9,8,10,9,12,5,9,14,11,6,9,16,6,13,12,11,8,11,14,13,14,9,3,14,7,11,3,15,10,10,10,9,8,7,10,9,9,13,7,12,15,11,9,9,12,18,5,13,11,11,14,10,13,11,7,11,9,10,14,15,9,11,7,8,14,9,9,13,14,13,17,11,7,9,7,7,7,9,13,9,6,13,12,10,11,9,15,15,19,8,13,7,10.64,
3,16,5,11,17,13,5,10,20,11,6,6,9,11,6,11,10,11,6,6,18,6,14,12,10,6,13,15,19,15,8,5,10,8,6,3,19,10,10,9,9,10,6,12,11,7,15,7,11,16,14,9,9,12,21,7,11,8,6,11,10,9,10,8,11,9,6,10,18,7,13,7,7,14,10,10,11,15,13,16,11,8,13,5,10,9,12,12,5,4,11,15,13,12,12,13,16,15,5,10,6,10.49,
3.05,13,6,10,13,12,6,15,17,16,8,5,9,9,6,15,7,10,5,12,19,5,17,12,14,8,15,13,18,11,10,6,7,7,6,4,18,10,7,4,7,12,7,10,11,6,16,12,11,15,16,7,10,12,14,13,14,9,8,10,11,6,8,9,11,10,7,7,18,6,12,10,7,11,11,11,12,13,13,12,13,7,21,4,9,9,14,15,3,5,15,10,13,12,11,13,15,11,10,14,7,10.61,
3.1,13,4,9,12,12,7,19,13,11,8,9,10,8,4,15,4,5,6,7,17,7,15,11,15,10,18,12,14,11,13,7,11,7,12,3,19,8,4,3,5,15,7,9,10,7,13,10,12,17,13,9,9,13,14,15,11,10,9,9,14,7,9,3,13,10,7,5,14,4,8,12,6,8,11,11,9,12,12,8,11,8,18,3,9,12,16,17,4,3,16,7,9,8,10,13,10,11,10,15,7,10.1,
3.15,14,4,11,8,14,7,19,18,7,9,10,14,8,1,11,7,8,6,7,12,4,13,10,15,8,18,12,12,9,11,4,10,9,16,4,18,7,3,4,6,13,10,6,12,9,11,12,15,19,11,12,10,12,11,17,14,9,9,11,10,10,11,6,9,13,9,6,15,4,8,10,7,8,11,9,9,12,10,9,9,7,18,5,10,10,13,16,4,4,16,9,8,6,12,14,13,11,9,14,8,10.13,
3.2,14,5,13,7,13,8,18,18,7,10,11,12,7,2,10,6,8,7,9,14,6,13,8,12,8,19,10,12,9,11,2,10,7,21,3,12,7,1,7,7,13,11,7,14,11,9,10,12,14,8,11,9,11,12,16,11,10,8,12,12,12,9,4,9,13,8,8,17,3,9,9,4,13,9,10,8,10,8,11,9,9,18,4,16,5,14,15,4,7,18,8,10,6,11,15,11,10,7,11,12,9.99,
3.25,12,6,12,9,13,10,14,20,5,12,14,8,7,2,11,9,7,8,9,17,6,15,12,11,7,19,12,10,13,9,3,12,5,21,3,10,7,4,8,10,16,8,8,14,13,11,12,13,15,7,11,11,12,14,14,11,9,11,17,11,11,10,5,7,12,9,14,12,3,9,7,3,12,10,7,4,12,8,13,9,11,19,7,17,5,16,13,7,11,14,7,11,9,10,16,9,12,7,10,10,10.38,
3.3,14,5,10,12,13,9,15,18,5,14,13,8,7,7,13,7,10,7,9,12,10,10,12,11,7,19,12,9,16,7,3,13,6,15,5,15,8,6,6,10,19,5,8,15,11,14,12,13,12,5,12,13,13,14,18,11,10,12,20,11,9,7,8,8,12,9,13,9,5,14,8,6,16,10,6,3,7,11,12,9,11,19,9,14,6,13,12,4,11,14,7,8,15,7,18,9,14,5,11,11,10.56,
3.35,11,2,10,14,18,10,13,18,6,15,11,8,5,9,9,6,12,6,15,12,10,10,9,10,7,16,11,11,19,7,8,14,4,13,5,13,10,9,8,7,17,9,9,14,11,12,14,18,13,6,12,16,14,15,18,12,8,15,13,12,8,8,5,9,8,7,14,11,5,13,9,6,16,10,8,5,7,14,11,12,11,14,12,7,11,8,10,5,9,15,7,8,15,9,21,9,15,4,13,13,10.71,
3.4,10,2,9,14,16,10,14,17,6,11,12,12,7,9,9,7,10,4,17,12,9,12,9,9,5,17,9,11,13,7,7,13,5,10,6,12,12,9,9,7,19,9,9,13,8,5,15,22,15,5,12,15,15,8,15,15,8,14,9,13,8,10,2,8,5,10,11,8,5,15,6,7,14,10,11,6,7,12,14,19,7,16,12,3,9,8,10,6,8,17,6,12,15,8,18,7,15,5,16,7,10.36,
3.45,13,4,11,11,17,9,11,18,4,11,14,14,8,7,11,5,9,6,15,10,6,11,7,6,4,17,12,7,13,7,9,14,4,9,6,11,7,9,6,9,15,10,9,12,14,6,16,19,15,7,13,10,11,6,16,12,8,9,9,10,8,8,5,9,3,10,8,9,7,12,5,7,13,10,15,11,8,11,12,13,8,17,11,3,6,11,10,6,7,19,6,9,10,7,15,4,11,8,15,6,9.82,
3.5,13,8,8,11,17,7,10,15,6,11,14,13,8,4,12,5,6,6,12,6,7,9,12,7,5,15,9,8,11,6,7,12,3,10,10,16,8,8,5,10,16,8,9,11,11,5,15,17,14,11,13,10,13,5,15,13,8,6,11,8,7,8,5,10,3,12,11,7,8,11,6,8,11,9,10,16,8,10,7,12,8,17,12,6,7,13,7,9,8,17,8,5,8,9,12,3,9,13,18,8,9.65,
3.55,13,11,5,10,14,5,10,18,8,13,15,8,6,5,12,4,4,6,13,9,7,10,12,6,7,13,10,8,11,6,9,13,6,9,7,14,5,11,6,8,11,8,7,10,9,8,13,15,14,10,11,10,12,8,14,10,7,7,12,7,6,4,6,12,3,11,17,9,8,11,6,7,10,9,10,14,9,8,7,13,8,11,12,7,11,15,8,12,10,14,5,4,6,9,15,7,10,9,15,6,9.44,
3.6,16,11,5,10,12,8,10,15,9,16,12,7,9,7,12,5,4,2,14,10,8,8,15,6,7,13,13,6,10,5,8,13,5,9,10,13,5,9,7,5,13,5,5,9,11,9,12,13,10,10,10,10,9,13,17,13,6,7,11,7,5,6,8,12,5,12,16,10,10,15,7,8,11,15,11,14,9,8,10,10,5,9,9,7,11,14,8,7,7,14,7,5,6,8,16,12,11,8,15,6,9.56,
3.65,12,9,5,8,10,7,12,17,10,12,12,8,10,11,9,4,5,5,13,12,7,8,9,10,8,13,10,6,8,5,9,8,8,8,7,12,5,11,12,3,13,4,10,9,10,9,10,12,7,6,14,9,10,13,17,17,7,6,10,6,3,7,8,12,7,11,14,9,8,15,9,10,10,10,14,11,11,9,9,9,6,10,8,5,14,14,12,5,7,9,8,6,6,7,16,14,15,5,15,9,9.44,
3.7,12,7,6,4,8,6,11,16,11,16,13,6,11,11,8,4,6,5,15,14,5,9,12,10,7,16,6,6,6,5,9,9,7,9,4,13,6,11,9,3,12,4,10,7,10,8,14,10,6,8,14,8,8,10,18,12,6,11,10,7,3,11,7,14,10,12,11,9,9,11,5,14,9,10,14,13,10,12,11,5,5,10,4,9,12,14,11,5,8,5,8,7,4,7,15,11,13,8,11,10,9.22,
3.75,7,5,6,5,6,6,10,16,9,11,7,5,13,10,7,5,9,8,14,12,6,8,16,9,8,17,7,5,7,7,7,4,7,10,4,16,8,13,9,8,14,8,11,11,8,6,15,9,7,7,10,8,7,8,20,10,6,13,6,12,5,10,5,12,9,11,9,10,11,10,4,11,15,9,10,13,11,13,9,10,3,8,2,9,5,13,13,9,13,5,8,7,3,10,10,7,14,7,14,8,9.08,
3.8,9,2,7,7,10,3,5,15,6,9,8,8,10,9,9,7,5,7,9,9,4,14,17,6,6,18,5,4,7,9,4,5,4,11,2,13,9,11,8,9,19,13,16,7,10,6,21,8,7,8,10,6,9,7,17,13,7,13,6,11,8,9,4,9,7,11,10,7,10,10,8,9,18,11,8,17,10,14,9,10,4,7,2,13,4,15,9,13,15,6,6,7,5,7,11,4,11,9,15,5,9.01,
3.85,6,2,5,8,8,3,5,13,5,9,9,5,13,12,9,7,3,6,10,10,3,11,15,6,7,13,6,6,12,8,4,8,4,9,4,10,8,15,6,8,16,11,12,6,7,4,15,6,10,9,10,4,9,10,18,13,9,10,9,8,9,7,3,10,6,11,9,8,13,12,7,8,15,15,8,14,10,13,8,13,5,7,5,9,7,16,8,12,18,9,6,6,7,6,11,5,8,11,15,3,8.8,
3.9,5,1,7,10,8,4,3,9,6,12,10,7,13,12,8,5,5,4,9,12,2,14,14,5,3,12,4,5,10,7,5,10,5,14,5,9,7,16,4,7,14,9,13,4,5,5,11,6,12,13,9,5,11,12,22,13,12,9,9,6,7,5,6,6,2,11,7,9,7,13,9,5,13,14,6,11,7,16,6,11,8,9,7,9,9,15,8,12,16,10,7,9,7,6,12,5,8,10,12,2,8.6,
3.95,6,2,5,9,11,5,3,7,6,12,8,6,10,9,7,4,4,6,9,13,2,14,8,3,3,5,3,6,9,8,6,9,5,14,5,4,7,15,8,8,17,7,13,5,2,5,10,5,12,10,10,10,10,14,22,12,11,7,10,6,3,6,6,8,4,11,3,8,8,13,11,9,11,12,6,7,5,15,9,8,9,9,9,8,8,10,8,12,14,8,8,7,5,9,16,6,6,8,9,3,8.17,
4,8,2,8,10,13,4,3,8,8,11,9,5,9,6,7,2,7,7,7,8,4,13,9,4,3,8,4,10,7,8,5,11,9,13,5,2,9,15,10,8,17,10,11,8,3,11,4,9,9,8,10,10,10,12,19,9,9,7,11,5,1,8,3,8,3,12,6,10,8,15,10,8,11,13,6,11,5,16,9,10,4,9,8,10,8,7,9,11,8,6,5,10,3,7,15,8,8,5,10,6,8.21,
4.05,9,4,4,9,16,4,3,8,9,10,10,3,7,6,9,2,6,7,7,5,4,7,12,2,4,9,7,9,7,6,4,9,11,10,4,3,6,15,8,8,16,11,10,4,3,13,2,12,9,3,9,8,8,9,19,7,7,7,8,5,0,5,3,7,3,12,9,9,8,18,9,8,13,9,4,13,4,10,9,8,2,10,6,8,7,6,10,12,8,5,4,11,4,6,16,7,12,4,14,7,7.73,
4.1,6,4,5,8,11,3,3,8,8,8,10,3,4,4,11,3,5,6,10,10,4,8,13,2,3,7,7,14,9,7,3,10,7,7,5,3,10,15,7,10,14,12,8,5,3,10,4,10,6,1,8,5,8,6,16,8,7,9,6,6,0,5,2,7,3,11,8,10,8,18,8,6,12,5,2,11,3,8,7,7,2,10,8,5,4,4,9,11,6,5,4,7,5,5,14,10,17,3,11,7,7.21,
4.15,4,3,4,7,12,4,4,12,5,7,9,4,3,5,9,3,5,6,9,8,4,8,13,2,4,5,5,11,8,7,3,11,7,7,4,3,7,13,7,7,11,10,9,5,4,11,3,12,2,1,4,6,10,7,13,9,4,9,4,6,0,5,1,9,2,8,7,12,6,18,6,2,14,3,0,10,3,6,9,4,1,8,5,5,3,5,7,13,5,3,3,9,6,3,10,7,14,2,12,6,6.51,
4.2,5,2,4,8,10,4,4,10,3,10,9,4,3,7,7,2,5,2,10,7,3,6,8,2,3,5,6,8,9,7,2,10,7,6,5,3,9,11,5,8,10,9,8,6,3,7,2,14,1,0,6,5,6,6,8,11,3,11,2,7,0,4,1,7,2,5,4,10,7,14,2,4,12,3,0,9,3,7,8,5,0,7,4,2,3,6,5,9,7,5,3,8,3,5,8,6,11,2,10,5,5.8,
4.25,3,3,3,6,9,5,5,7,6,6,6,4,1,4,7,1,3,1,8,6,2,6,6,1,4,7,4,9,11,6,2,10,4,6,6,2,8,10,5,8,5,6,9,5,4,5,1,15,1,0,7,1,2,3,13,7,3,8,2,6,0,4,1,4,1,6,5,9,8,17,1,6,12,3,0,6,3,9,7,5,0,3,3,1,3,8,6,9,4,5,2,6,2,6,6,7,12,2,6,4,5.16,
4.3,3,2,2,4,7,4,5,6,4,5,3,3,1,2,6,1,3,0,9,6,3,7,7,0,3,10,4,9,7,6,1,5,1,3,4,2,8,8,3,9,4,5,6,7,3,3,0,11,0,0,6,0,2,3,17,7,3,9,3,6,0,4,0,4,1,3,3,7,9,15,0,6,12,5,0,3,4,6,3,6,0,3,1,2,2,8,2,9,3,7,3,5,2,7,5,6,9,2,6,3,4.47,
4.35,2,1,3,5,7,3,6,6,2,5,2,5,0,3,5,2,2,0,7,6,3,7,4,0,3,12,2,6,9,4,1,4,2,3,3,3,8,7,3,2,4,5,6,10,3,2,0,8,0,0,3,0,0,2,20,6,3,8,3,7,0,4,0,4,1,3,2,5,8,11,0,7,13,8,0,2,3,2,2,5,0,3,1,2,2,8,2,6,4,7,5,3,2,7,5,6,8,0,5,2,4.06,
4.4,1,0,1,4,7,2,5,6,1,2,1,7,0,1,5,3,1,0,4,6,2,7,5,0,3,10,2,3,9,5,1,6,5,2,3,3,8,6,4,1,3,5,5,7,2,2,0,6,0,0,2,0,0,3,15,4,3,5,2,7,0,6,0,3,1,3,1,2,6,6,0,5,12,8,0,2,4,5,2,4,0,2,0,2,1,8,1,6,4,6,6,2,4,6,3,4,7,0,4,0,3.49,
4.45,1,0,1,3,4,2,4,6,0,0,0,6,0,0,4,3,0,0,3,4,0,7,4,0,2,8,0,3,9,4,1,7,5,2,3,3,9,5,3,0,4,4,5,9,1,0,0,7,0,0,1,0,0,2,10,3,2,7,2,5,0,5,0,3,0,4,1,3,6,9,0,5,11,8,0,2,5,7,0,4,0,1,0,1,2,7,0,4,5,3,5,0,5,6,2,5,7,0,4,0,3.08,
4.5,0,0,0,3,4,1,2,7,0,0,0,3,0,0,5,4,0,0,2,5,0,6,2,0,3,5,0,3,6,5,1,5,4,2,3,3,7,5,2,0,3,4,4,6,2,0,0,4,0,0,2,0,0,3,10,0,2,5,2,4,0,7,0,2,0,3,1,3,5,4,0,3,7,6,0,1,5,6,0,5,0,1,0,0,1,4,0,3,4,4,3,0,3,5,2,4,6,0,2,0,2.49,
4.55,0,0,0,3,2,0,1,6,0,0,0,2,0,0,6,5,0,0,3,3,0,6,1,0,0,5,0,2,6,4,1,5,4,1,1,1,6,5,2,0,2,4,6,5,1,0,0,4,0,0,0,0,0,2,9,0,0,4,1,4,0,6,0,1,0,2,1,4,2,5,0,3,5,5,0,0,5,3,0,5,0,1,0,0,1,4,0,1,2,3,2,0,3,5,2,4,6,0,2,0,2.06,
4.6,0,0,0,4,1,0,1,5,0,0,0,2,0,0,5,5,0,0,3,3,0,7,0,0,0,4,0,1,4,4,1,3,3,2,1,0,4,6,3,0,1,3,7,9,1,0,0,3,0,0,0,0,0,2,6,0,0,3,0,4,0,6,0,0,0,1,1,5,2,5,0,2,3,4,0,0,6,4,0,4,0,1,0,0,0,5,0,2,1,2,2,0,1,5,3,4,3,0,2,0,1.85,
4.65,0,0,0,2,1,0,1,5,0,0,0,0,0,0,5,5,0,0,3,1,0,5,0,0,0,4,0,1,4,5,1,1,4,2,0,0,3,6,2,0,0,3,7,7,0,0,0,1,0,0,0,0,0,0,4,0,0,3,0,2,0,6,0,0,0,1,1,5,0,6,0,2,3,3,0,0,5,4,0,4,0,1,0,0,0,5,0,1,0,0,2,0,1,3,3,6,4,0,3,0,1.57,
4.7,0,0,0,1,1,0,1,5,0,0,0,0,0,0,6,4,0,0,4,0,0,3,0,0,0,3,0,2,5,7,1,0,2,1,0,0,4,7,4,0,0,2,8,5,0,0,0,1,0,0,0,0,0,0,5,0,0,3,0,2,0,2,0,0,0,1,1,3,0,6,0,2,3,3,0,0,3,3,0,4,0,1,0,0,0,6,0,0,0,0,2,0,0,1,2,6,4,0,3,0,1.43,
4.75,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,2,0,0,5,0,0,3,0,0,0,2,0,2,6,7,1,0,1,1,0,0,4,5,5,0,0,2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,1,1,2,0,4,0,3,6,4,0,0,2,3,0,4,0,1,0,0,0,5,0,0,0,0,2,0,0,2,1,5,2,0,5,0,1.26,
4.8,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,4,0,0,3,0,0,2,0,0,0,2,0,3,4,9,1,0,0,0,0,0,5,4,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,2,6,4,0,0,3,1,0,4,0,1,0,0,0,6,0,0,0,0,2,0,0,1,0,4,3,0,4,0,1.05,
4.85,0,0,0,0,0,0,1,4,0,0,0,0,0,0,4,3,0,0,3,0,0,1,0,0,0,1,0,3,4,8,1,0,0,0,0,0,5,4,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,1,6,2,0,0,2,2,0,3,0,1,0,0,0,5,0,0,0,0,2,0,0,1,0,4,3,0,3,0,0.94,
4.9,0,0,0,0,0,0,1,4,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,2,2,8,1,0,0,0,0,0,6,3,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,5,0,0,0,2,3,0,4,0,1,0,0,0,7,0,0,0,0,2,0,0,0,0,3,2,0,4,0,0.8,
4.95,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,8,1,0,0,0,0,0,7,3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,0,0,3,1,0,3,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,2,1,0,2,0,0.64,
5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,0,0,0,0,0,4,3,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,1,0,4,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0.59,
5.05,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,0,0,0,0,5,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0.46,
5.1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,0,0,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.4,
5.15,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,1,0,0,0,0,0,4,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.42,
5.2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.33,
5.25,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.27,
5.3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0.21,
5.35,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.19,
5.4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.16,
5.45,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,
5.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,
5.55,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,
5.6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,
5.65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,
5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,
5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,
5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,
5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
