,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average,
0.5,4,3,7,3,6,6,5,7,3,4,2,5,8,10,5,6,3,8,4,6,6,5,4,4,7,5,3,6,7,7,7,6,9,9,5,1,3,5,2,4,9,6,7,7,7,6,6,6,2,8,5,5,3,3,2,8,5,7,6,8,5,5,4,3,8,9,6,10,4,7,8,4,5,5,5,4,4,5,4,5,3,3,4,5,8,6,5,5,7,7,7,4,2,7,8,3,6,2,10,4,5.42,
0.55,5,3,6,4,4,4,7,5,2,4,2,3,9,8,5,4,3,7,5,7,4,3,4,3,5,3,3,6,4,8,5,3,6,10,6,3,1,6,2,4,6,4,6,7,4,5,3,6,1,4,4,2,4,4,1,6,5,5,6,6,4,5,2,3,8,8,6,6,4,5,8,4,3,1,6,1,2,4,2,6,1,3,4,7,5,6,3,6,5,2,8,3,1,8,6,6,6,2,8,3,4.56,
0.6,5,2,6,4,5,2,5,3,5,2,5,4,9,5,3,2,2,6,7,4,3,3,4,5,4,5,3,8,4,10,3,5,4,7,8,4,1,7,7,4,4,5,7,7,4,4,4,3,4,2,8,2,6,8,3,4,5,8,9,6,6,6,2,5,7,6,7,6,5,7,6,7,3,1,8,2,5,3,5,6,2,6,6,9,4,4,4,6,5,4,7,7,5,6,7,6,5,6,5,3,4.98,
0.65,4,3,2,5,8,0,2,5,8,4,5,5,9,5,6,4,6,5,7,8,2,4,5,6,4,6,5,11,6,10,3,5,10,6,5,5,5,7,7,7,2,12,9,8,3,4,7,8,5,4,6,6,6,10,6,7,4,10,7,5,9,8,3,5,8,10,6,6,6,9,3,6,1,3,7,5,6,4,8,6,3,7,5,9,3,4,4,7,5,6,7,5,6,5,5,10,6,10,6,5,5.86,
0.7,5,2,3,7,8,1,2,6,11,5,6,5,9,10,7,4,7,7,9,13,5,5,4,7,6,8,6,9,7,9,4,7,9,8,6,8,7,6,6,8,3,12,11,7,5,5,9,9,5,6,5,7,4,10,6,8,5,5,6,4,9,11,2,2,7,7,5,7,3,10,6,7,3,4,8,8,5,3,7,6,6,7,10,5,4,4,6,6,8,5,8,10,8,5,3,12,6,12,7,9,6.55,
0.75,5,3,5,6,9,1,2,5,10,5,8,3,9,11,8,6,7,7,10,14,4,3,4,8,6,14,4,6,8,8,5,3,8,11,3,8,11,8,8,4,1,10,10,10,5,6,9,10,7,8,6,5,5,10,8,8,4,3,8,6,7,12,2,3,7,6,5,8,2,9,10,6,2,6,5,9,4,5,6,4,6,5,13,6,1,6,7,5,8,5,11,8,11,3,3,13,7,10,6,9,6.68,
0.8,6,2,5,8,3,3,3,6,8,6,8,4,7,11,7,6,5,5,8,10,3,2,5,9,7,12,6,4,8,12,4,3,5,8,2,8,13,9,7,4,0,7,7,11,8,8,4,8,3,5,6,4,5,8,10,5,5,2,12,5,8,10,4,6,9,5,7,4,5,8,12,7,7,8,4,5,5,4,5,6,4,3,9,4,3,6,6,4,7,6,13,7,10,2,3,8,7,7,6,8,6.27,
0.85,12,1,10,7,3,5,8,7,7,5,9,3,10,12,9,6,7,3,8,11,4,6,6,8,10,9,8,3,6,11,4,7,6,5,3,6,12,10,6,6,4,8,6,10,8,5,5,8,1,6,9,5,4,11,7,5,8,6,9,7,5,8,6,3,6,5,9,6,6,9,12,8,11,4,4,9,6,2,2,8,5,7,11,5,4,8,4,4,8,3,10,8,7,2,4,8,5,9,8,6,6.66,
0.9,15,1,12,6,8,7,9,10,10,7,9,3,9,8,7,6,10,7,7,6,6,10,12,13,9,10,9,6,5,14,7,9,6,5,5,5,7,9,7,10,7,8,5,15,6,10,6,7,3,8,9,9,5,9,6,8,7,6,10,5,5,9,4,5,4,6,9,6,9,13,11,11,9,8,7,9,9,3,2,5,5,11,13,8,6,8,6,9,6,2,13,8,8,7,10,8,7,8,10,8,7.75,
0.95,10,3,17,12,12,5,8,10,14,8,8,9,8,7,8,9,11,10,10,5,8,11,11,14,11,12,9,6,7,13,8,12,8,4,7,10,9,9,7,13,6,9,9,12,7,12,9,7,7,8,7,12,6,9,5,11,4,9,8,4,4,9,5,3,5,8,12,6,8,13,10,9,8,10,5,5,10,7,4,5,9,11,13,8,5,7,7,11,10,5,13,7,12,10,13,9,9,8,16,6,8.69,
