,time slot,time point (sec)
set 1,103,5.15
set 2,107,5.35
set 3,105,5.25
set 4,107,5.35
set 5,107,5.35
set 6,103,5.15
set 7,107,5.35
set 8,105,5.25
set 9,105,5.25
set 10,103,5.15
set 11,105,5.25
set 12,105,5.25
set 13,107,5.35
set 14,107,5.35
set 15,105,5.25
set 16,107,5.35
set 17,103,5.15
set 18,105,5.25
set 19,105,5.25
set 20,105,5.25
set 21,103,5.15
set 22,107,5.35
set 23,105,5.25
set 24,103,5.15
set 26,103,5.15
set 26,105,5.25
set 27,107,5.35
set 28,107,5.35
set 29,105,5.25
set 30,105,5.25
set 31,105,5.25
set 32,105,5.25
set 33,103,5.15
set 34,103,5.15
set 35,105,5.25
set 36,103,5.15
set 37,98,4.9
set 38,103,5.15
set 39,105,5.25
set 40,105,5.25
set 41,107,5.35
set 42,103,5.15
set 43,103,5.15
set 44,105,5.25
set 45,105,5.25
set 46,105,5.25
set 47,105,5.25
set 48,105,5.25
set 49,107,5.35
set 50,98,4.9
set 51,105,5.25
set 52,103,5.15
set 53,105,5.25
set 54,103,5.15
set 55,103,5.15
set 56,105,5.25
set 57,105,5.25
set 58,103,5.15
set 59,103,5.15
set 60,107,5.35
set 61,105,5.25
set 62,107,5.35
set 63,105,5.25
set 64,105,5.25
set 65,105,5.25
set 66,103,5.15
set 67,105,5.25
set 68,105,5.25
set 69,105,5.25
set 70,103,5.15
set 71,105,5.25
set 72,105,5.25
set 73,107,5.35
set 74,105,5.25
set 75,105,5.25
set 76,105,5.25
set 77,105,5.25
set 78,105,5.25
set 79,105,5.25
set 80,103,5.15
set 81,105,5.25
set 82,105,5.25
set 83,105,5.25
set 84,105,5.25
set 85,103,5.15
set 86,107,5.35
set 87,103,5.15
set 88,103,5.15
set 89,105,5.25
set 90,105,5.25
set 91,107,5.35
set 92,107,5.35
set 93,103,5.15
set 94,103,5.15
set 95,103,5.15
set 96,103,5.15
set 97,107,5.35
set 98,103,5.15
set 99,103,5.15
set 100,103,5.15
average,104.62,5.231
