,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.02
0.05,14,4,12,16,4,4,4,4,4,7,4,4,19,4,4,4,4,4,4,28,4,20,21,4,4,14,23,16,4,4,4,12,4,10,4,16,4,4,4,16,4,4,4,12,4,18,12,4,9,4,12,4,4,4,19,11,4,4,4,4,4,4,14,4,4,4,4,4,4,4,8,4,4,4,7,4,4,8,4,21,4,4,4,4,4,9,4,15,4,18,4,14,7,4,4,4,4,4,4,4,7.3
0.1,39,16,26,32,16,16,16,18,22,34,20,22,26,18,10,12,15,15,11,19,11,31,39,18,23,36,43,20,11,26,16,13,25,24,33,49,17,11,9,34,13,32,21,16,20,42,32,15,17,21,23,20,10,11,33,32,21,17,16,32,22,14,24,21,14,22,15,14,23,12,20,9,21,12,29,22,16,14,15,42,18,11,17,12,11,14,14,24,14,37,11,35,23,23,14,14,9,17,25,12,20.72
0.15,36,24,43,44,29,36,16,40,24,51,21,34,28,33,14,45,21,34,28,39,22,59,55,41,27,46,72,50,22,52,36,40,27,34,38,59,21,34,34,35,26,30,43,34,29,50,58,29,37,24,37,30,19,26,49,47,27,37,27,39,70,24,28,34,27,44,20,29,60,33,46,12,28,14,40,24,27,46,35,70,30,23,15,30,20,36,30,45,42,56,25,75,30,37,25,18,28,26,39,21,35.04
0.2,51,49,48,45,38,41,32,71,43,56,50,57,45,42,35,46,38,58,51,41,37,52,56,64,53,58,53,45,37,70,34,34,37,56,37,60,40,38,47,49,35,51,44,45,39,68,51,46,43,44,45,34,32,50,59,61,62,48,34,57,63,40,29,52,56,66,40,42,67,58,59,40,34,31,49,57,39,41,49,67,50,52,58,47,35,42,33,55,43,56,34,60,58,66,54,42,55,43,61,36,48.01
0.25,53,44,42,52,53,70,36,63,57,47,46,54,48,73,48,59,46,55,58,47,43,62,60,49,46,54,76,55,49,71,61,54,48,52,59,57,47,50,57,54,56,43,63,50,53,65,62,56,57,51,45,50,47,49,57,53,47,72,48,65,65,46,48,53,50,59,47,46,63,60,63,46,61,46,55,49,53,50,57,61,46,57,54,42,45,37,42,53,56,67,39,56,51,66,63,42,67,45,55,50,53.55
0.3,16,53,8,7,53,58,50,65,60,9,54,64,5,70,43,57,47,59,66,5,44,5,5,67,65,8,8,8,54,79,66,8,49,8,61,8,55,49,67,5,63,50,60,8,55,8,8,65,5,51,5,47,48,54,8,8,53,60,47,54,55,44,32,58,60,68,48,59,70,70,31,48,63,45,10,60,55,8,58,9,54,59,51,65,51,5,50,17,64,42,51,8,14,69,59,51,56,40,70,52,42.04
0.35,40,10,28,13,19,19,20,10,10,24,10,10,14,20,10,12,10,10,16,20,10,5,20,10,10,11,33,16,10,22,21,11,10,21,10,24,10,10,14,13,10,10,13,29,10,32,23,21,17,15,27,10,18,30,31,24,10,16,17,11,17,10,39,10,27,10,10,13,11,22,35,19,13,18,28,10,10,18,13,13,10,15,10,10,10,13,10,32,13,9,23,29,23,13,20,14,17,13,10,10,16.4
0.4,61,24,38,25,31,44,34,24,16,47,26,34,28,42,23,23,39,30,36,30,28,18,16,27,30,28,53,24,25,51,30,20,35,40,24,51,39,31,36,27,29,28,32,34,17,42,35,25,15,23,24,14,40,28,53,17,28,17,48,17,35,34,48,30,37,16,38,18,31,33,28,17,15,37,30,29,34,28,22,37,24,45,40,32,27,13,39,45,29,24,43,45,30,30,22,34,20,37,27,33,30.9
0.45,71,29,66,39,45,48,44,39,38,57,39,51,29,54,34,54,47,36,53,46,38,17,39,32,53,41,69,28,38,58,40,26,45,48,31,59,52,58,47,39,44,45,57,65,37,49,51,36,28,35,57,21,42,50,57,42,46,39,44,30,53,50,5,42,64,21,45,40,43,59,64,43,25,19,49,57,38,56,37,52,30,58,41,53,74,29,50,43,55,27,36,58,45,42,42,43,52,42,52,47,44.33
0.5,70,46,58,59,56,58,44,63,48,71,46,56,50,72,50,59,59,67,76,63,58,36,32,48,58,46,60,39,55,72,62,41,53,60,51,55,69,75,53,47,59,49,64,61,39,75,49,58,31,38,49,46,52,65,61,44,57,43,65,55,48,60,27,62,59,37,61,55,48,62,59,35,25,44,54,72,61,55,43,55,50,76,71,73,63,23,72,54,64,34,56,62,50,56,59,52,58,65,63,94,55.18
0.55,52,44,75,64,76,73,56,67,62,60,74,62,49,73,56,60,61,64,84,65,72,33,45,46,67,59,77,47,64,44,66,39,66,64,60,64,75,76,75,57,73,71,79,66,58,69,53,74,39,46,65,57,60,67,73,56,57,51,66,63,73,69,33,66,65,57,73,49,46,79,58,59,43,58,5,82,45,63,68,26,61,70,80,68,61,34,75,9,76,42,70,66,51,57,60,24,71,64,65,80,60.17
0.6,38,63,8,34,73,39,38,68,61,14,58,64,5,68,54,40,68,52,83,60,64,40,10,62,78,8,36,8,76,19,67,14,68,43,60,8,71,71,73,5,66,86,84,8,76,8,8,62,5,63,5,57,23,68,14,14,67,22,73,38,32,81,37,69,44,66,67,26,59,33,14,22,57,88,17,85,72,11,41,26,52,30,66,62,77,12,65,34,73,49,72,31,13,14,72,38,72,26,72,83,46.76
0.65,65,37,32,33,26,58,40,23,29,43,23,14,16,15,41,42,29,19,46,7,34,5,17,13,25,18,26,31,43,22,30,23,22,20,29,33,20,38,29,20,20,49,35,25,44,28,30,36,47,20,28,48,24,18,35,29,31,56,16,21,51,24,44,28,27,30,16,23,50,52,35,45,51,61,48,36,16,27,30,8,35,43,39,35,32,47,15,47,22,10,21,8,26,25,37,22,28,23,20,42,30.55
0.7,50,72,41,7,53,64,61,52,38,56,31,36,21,51,37,55,43,21,49,17,39,27,44,27,64,52,56,43,68,32,32,33,40,44,49,46,44,48,59,29,44,50,48,24,45,33,47,48,50,44,40,47,35,35,53,43,46,61,63,33,55,41,44,42,48,33,36,42,14,46,67,57,47,90,44,70,36,27,35,13,42,77,42,34,48,36,38,61,44,27,50,35,48,42,53,31,51,47,33,58,44.04
0.75,27,46,65,19,58,65,37,51,42,60,43,45,20,48,51,50,58,38,77,13,54,46,45,60,52,67,56,55,40,48,46,39,51,35,43,44,41,62,47,35,48,57,51,41,54,53,53,50,62,33,66,50,59,47,50,49,44,68,57,57,59,55,6,44,54,33,35,54,42,59,75,63,35,59,71,75,42,44,49,14,59,63,60,67,56,72,47,67,47,23,50,54,42,51,62,60,69,61,41,76,50.23
0.8,53,54,58,29,45,13,50,66,28,68,18,50,52,55,23,33,59,42,33,22,44,51,67,59,27,67,59,54,21,44,28,47,46,69,20,57,30,63,27,47,62,13,27,42,15,52,71,67,67,64,50,14,65,73,66,41,69,30,72,38,26,48,33,51,61,21,46,55,58,40,65,19,46,21,64,73,51,45,26,33,17,73,52,54,68,56,65,83,45,42,58,70,57,78,63,65,71,67,46,68,48.56
0.85,61,13,60,44,55,26,13,33,38,48,48,52,72,54,59,50,37,56,54,29,63,81,52,68,19,77,22,62,27,61,48,8,49,21,46,59,28,23,48,50,33,43,39,54,32,65,69,25,64,65,58,43,70,42,70,38,15,54,32,55,46,52,42,21,27,50,48,63,43,47,60,35,27,48,32,24,56,61,46,38,39,25,18,28,41,64,63,44,28,58,69,68,56,44,34,48,78,20,33,17,45.21
0.9,61,26,19,60,58,40,35,57,50,14,55,60,48,16,53,31,47,25,31,40,45,74,55,67,43,38,42,8,66,24,33,38,15,69,51,47,66,49,62,7,68,51,50,23,51,14,20,37,16,63,6,53,44,60,14,23,44,26,77,50,44,45,45,32,34,50,13,13,58,36,12,38,52,54,12,67,17,22,69,50,23,39,40,34,58,11,26,14,59,54,37,67,34,26,52,62,28,32,51,43,40.68
0.95,72,43,35,50,46,55,48,23,33,28,47,13,63,26,56,35,35,57,59,6,34,55,17,14,51,19,53,30,53,31,65,48,31,68,70,13,48,47,42,28,35,64,51,54,38,23,26,54,38,28,26,69,16,32,34,54,63,46,45,33,50,45,49,22,44,36,22,35,59,42,36,58,22,51,37,60,34,44,60,35,43,52,65,41,15,50,24,30,40,17,19,8,20,49,34,18,31,33,42,45,39.93
1,13,58,62,7,53,60,59,46,48,28,53,45,66,34,49,45,33,45,60,38,47,27,29,31,58,51,54,71,74,47,48,53,46,76,76,27,65,47,58,36,64,62,54,58,62,58,40,54,53,38,37,61,38,49,50,54,81,52,59,38,77,56,45,43,54,48,60,37,16,45,48,64,35,66,32,65,58,59,54,46,51,85,45,53,34,42,49,40,50,35,33,27,25,57,57,25,47,65,47,64,49.24
1.05,40,61,55,35,59,54,59,60,51,36,62,36,7,58,55,52,33,53,64,43,66,35,44,40,78,76,64,56,51,33,55,62,43,37,75,50,55,52,72,44,67,61,36,54,71,57,54,73,45,62,58,77,53,54,53,20,76,46,62,54,62,69,6,43,57,51,47,64,44,46,45,66,36,63,49,66,62,62,52,53,57,71,61,54,50,59,56,50,59,67,54,25,20,66,71,38,38,60,61,60,53.14
1.1,46,67,64,40,28,30,67,64,20,37,13,49,29,62,28,40,22,67,27,51,62,26,33,61,30,71,50,87,21,47,33,62,54,68,47,52,16,74,69,49,69,20,18,57,17,58,59,72,74,50,55,15,69,64,56,37,71,32,77,24,23,37,19,55,58,16,56,50,33,15,55,25,37,15,49,74,78,37,20,58,26,74,53,39,69,65,66,69,68,62,57,36,23,55,73,47,66,59,17,74,47.65
1.15,68,13,37,55,50,46,13,32,36,22,43,45,48,58,48,56,40,66,38,19,61,32,34,60,23,68,16,60,42,64,51,8,54,13,16,39,25,18,39,52,24,39,35,80,24,22,54,17,46,64,55,40,88,35,68,42,27,42,13,59,29,44,27,32,21,36,63,68,52,22,32,50,21,35,27,14,54,20,34,21,31,22,32,65,74,59,60,45,22,74,65,46,30,15,28,46,55,24,51,34,40.62
1.2,63,19,9,48,54,63,32,52,83,8,60,45,53,13,47,35,50,27,35,37,22,47,5,75,35,8,31,33,74,46,46,30,13,22,25,60,40,36,61,9,51,46,48,53,24,18,9,22,39,38,26,62,79,29,11,19,45,46,26,41,40,32,43,58,19,57,13,13,62,41,28,67,30,63,40,24,13,51,58,28,14,53,71,41,80,8,16,10,40,26,13,55,32,23,65,45,15,62,39,24,37.95
1.25,66,39,22,49,21,64,60,31,58,18,57,14,68,45,64,46,24,46,37,6,62,56,36,13,42,32,48,28,79,63,67,45,22,34,30,58,56,49,33,54,52,48,46,36,33,25,30,46,36,23,26,64,14,22,13,18,58,49,50,65,54,37,42,39,58,56,42,40,40,59,61,77,36,90,52,38,36,69,60,45,30,58,55,18,19,16,46,13,27,6,29,13,18,48,50,20,52,62,68,38,42.13
1.3,14,51,45,5,34,62,72,44,58,34,69,35,61,40,69,58,36,38,42,20,73,16,44,35,47,44,62,50,74,75,60,53,42,43,53,27,72,60,36,63,55,71,59,39,46,64,51,49,10,35,50,78,23,40,24,40,63,64,75,70,65,42,41,48,51,83,64,51,23,55,73,70,46,76,64,49,66,67,42,58,39,73,79,33,47,40,60,38,54,13,60,32,16,58,50,29,44,79,72,53,50.25
1.35,36,58,50,14,59,15,73,61,61,44,68,62,32,71,40,25,50,53,45,14,96,41,61,61,53,64,52,52,52,44,68,48,61,20,70,62,46,53,58,73,56,52,69,35,47,50,54,66,21,53,47,68,23,55,23,44,60,13,71,88,62,22,5,61,69,72,67,63,47,69,71,32,62,69,29,52,72,67,21,67,59,74,70,64,49,24,70,66,45,14,71,38,47,61,65,41,77,80,59,65,52.79
1.4,45,62,66,24,47,16,74,63,13,47,23,48,10,70,40,57,48,54,15,66,79,34,63,74,14,68,64,66,46,59,28,59,65,31,21,47,17,70,64,65,14,13,16,55,13,60,60,77,36,52,59,15,41,75,46,52,32,20,70,14,13,26,34,68,62,15,69,61,45,13,47,22,22,13,38,62,83,8,38,68,51,59,13,82,76,37,78,70,58,25,70,48,41,64,58,58,59,54,19,70,46.39
