,time slot,timepoint (sec)
set1,20,1
set2,38,1.9
set3,7,0.35
set4,28,1.4
set5,121,6.05
set6,60,3
set7,50,2.5
set8,42,2.1
set9,42,2.1
set10,20,1
set11,69,3.45
set12,31,1.55
set13,43,2.15
set14,14,0.7
set15,13,0.65
set16,15,0.75
set17,23,1.15
set18,33,1.65
set19,21,1.05
set20,25,1.25
set21,27,1.35
set22,34,1.7
set23,18,0.9
set24,24,1.2
set25,26,1.3
set26,13,0.65
set27,42,2.1
set28,19,0.95
set29,36,1.8
set30,20,1
set31,29,1.45
set32,10,0.5
set33,43,2.15
set34,14,0.7
set35,19,0.95
set36,19,0.95
set37,56,2.8
set38,33,1.65
set39,78,3.9
set40,34,1.7
set41,22,1.1
set42,35,1.75
set43,27,1.35
set44,28,1.4
set45,14,0.7
set46,33,1.65
set47,28,1.4
set48,41,2.05
set49,20,1
set50,26,1.3
set51,43,2.15
set52,16,0.8
set53,14,0.7
set54,26,1.3
set55,58,2.9
set56,50,2.5
set57,41,2.05
set58,22,1.1
set59,39,1.95
set60,61,3.05
set61,14,0.7
set62,58,2.9
set63,23,1.15
set64,25,1.25
set65,13,0.65
set66,15,0.75
set67,115,5.75
set68,23,1.15
set69,15,0.75
set70,39,1.95
set71,47,2.35
set72,21,1.05
set73,26,1.3
set74,78,3.9
set75,15,0.75
set76,15,0.75
set77,40,2
set78,39,1.95
set79,18,0.9
set80,15,0.75
set81,34,1.7
set82,26,1.3
set83,21,1.05
set84,15,0.75
set85,28,1.4
set86,18,0.9
set87,16,0.8
set88,35,1.75
set89,21,1.05
set90,25,1.25
set91,25,1.25
set92,29,1.45
set93,21,1.05
set94,27,1.35
set95,61,3.05
set96,10,0.5
set97,17,0.85
set98,90,4.5
set99,29,1.45
set100,23,1.15
average,31.78,1.589
