,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
0,1,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,3,3,0,0,1,4,2,0,0,0,2,0,2,0,2,0,0,0,1,0,0,0,2,0,1,1,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0.54
0.05,4,1,4,6,1,2,1,1,2,2,2,4,5,2,0,0,2,0,0,4,1,5,5,1,4,3,8,3,1,4,2,3,4,3,4,9,1,1,0,3,1,4,3,4,2,4,3,1,1,2,1,2,0,0,5,3,3,1,1,3,2,1,4,3,1,2,1,2,2,0,3,0,2,1,3,3,1,1,0,6,2,0,1,1,0,1,2,2,1,4,1,5,2,1,1,1,0,2,2,1,2.2
0.1,4,4,3,8,6,5,3,6,5,7,5,6,7,5,1,4,4,4,2,6,4,8,6,5,5,9,9,4,4,5,6,5,6,4,9,13,2,6,6,7,4,7,6,5,4,8,9,5,1,5,6,5,3,4,7,3,5,2,3,7,7,2,6,8,3,6,5,6,7,3,5,1,6,3,4,4,5,4,4,15,4,4,2,4,3,2,7,7,4,6,3,10,3,4,3,1,4,3,7,3,5.05
0.15,4,6,4,6,5,7,5,8,7,7,6,11,4,7,2,7,6,4,3,3,4,4,6,7,4,8,7,5,3,6,5,2,7,2,11,11,3,6,8,7,6,7,5,1,4,8,7,4,1,4,4,5,2,5,3,4,10,4,4,6,11,1,4,7,3,8,5,8,7,3,3,2,5,1,6,5,5,4,3,13,3,6,4,3,3,1,6,7,6,10,4,14,6,7,5,1,4,5,9,5,5.35
0.2,4,8,3,8,6,5,5,11,6,7,4,8,7,5,6,10,6,5,2,3,2,4,6,6,3,8,10,3,3,8,10,2,6,4,5,8,4,5,6,7,5,8,6,1,2,10,6,5,1,7,3,6,3,3,3,1,8,7,5,6,9,3,4,5,2,9,6,8,8,3,5,4,6,2,5,5,6,2,4,11,4,6,3,3,4,2,3,8,6,7,4,13,3,5,5,1,7,3,7,4,5.3
0.25,4,7,2,7,5,3,6,8,5,5,5,10,5,7,8,5,6,4,1,3,1,3,4,9,4,9,9,4,3,10,10,2,3,4,4,4,2,5,7,7,3,9,5,0,3,8,6,6,1,6,2,10,4,4,4,1,6,6,4,6,10,2,8,6,1,8,2,4,7,2,4,3,8,1,6,4,6,1,5,10,4,8,3,5,3,2,1,8,6,9,3,10,4,4,4,2,4,2,7,3,4.94
0.3,8,7,8,7,3,3,3,6,1,4,6,8,5,7,6,4,6,4,3,5,2,3,2,7,6,6,9,5,3,7,9,3,5,8,3,6,4,7,7,9,3,6,2,2,4,5,7,6,5,6,7,6,6,5,8,4,8,8,4,4,11,2,5,6,5,4,2,3,7,4,3,3,11,2,9,3,7,3,3,7,5,12,5,5,6,3,2,10,4,7,2,9,5,4,5,3,4,2,5,3,5.22
0.35,10,6,13,8,4,7,5,8,2,6,7,6,7,9,6,8,8,9,6,8,4,4,3,9,7,4,13,7,5,7,9,3,10,7,4,14,5,9,10,9,4,7,5,6,3,10,7,7,9,8,10,4,6,5,11,7,9,5,4,6,13,7,5,9,9,2,6,2,8,5,2,4,11,4,10,5,7,5,2,9,6,13,5,8,7,4,8,12,6,6,5,8,6,5,5,3,4,5,8,6,6.74
0.4,14,5,14,8,5,12,4,10,3,10,7,10,7,14,8,12,8,10,7,6,7,5,4,11,11,6,14,5,5,10,13,3,16,7,7,16,7,10,13,13,8,9,9,12,8,16,11,7,8,8,10,1,8,6,17,8,7,5,8,6,18,10,6,13,12,2,8,5,5,3,5,7,8,3,10,10,9,7,4,8,3,11,9,8,11,7,9,11,10,10,6,14,8,8,8,4,7,7,11,8,8.52
0.45,14,6,13,9,5,12,5,11,5,10,6,10,8,12,7,13,10,15,14,8,6,7,4,14,12,11,16,3,5,10,13,3,15,8,12,13,12,13,16,11,13,8,13,12,7,18,13,9,7,11,14,2,9,11,20,3,8,6,10,7,15,12,6,15,10,5,7,6,8,4,10,6,10,8,8,13,12,3,3,8,6,13,11,10,16,5,11,11,11,11,8,14,8,6,11,4,10,7,11,12,9.63
